njet,btag,htlow,hthigh,mhtlow,mhthigh,bkg,bkgErr,data
eq1j,eq0b,200,400,200,Inf,3.64e+04,2.33e+02,36361
eq1j,eq0b,400,600,200,Inf,1.01e+03,2.45e+01,1009
eq1j,eq0b,600,900,200,Inf,1.12e+02,7.24e+00,112
eq1j,eq0b,900,Inf,200,Inf,7.40e+00,2.07e+00,5
eq1j,eq1b,200,400,200,Inf,1.41e+03,1.92e+01,1457
eq1j,eq1b,400,600,200,Inf,5.08e+01,1.69e+00,44
eq1j,eq1b,600,Inf,200,Inf,7.14e+00,5.10e-01,10
eq2j,eq0b,1200,Inf,200,400,7.21e-01,2.09e-01,0
eq2j,eq0b,1200,Inf,400,600,2.43e+00,4.64e-01,1
eq2j,eq0b,1200,Inf,600,900,2.40e+00,4.66e-01,2
eq2j,eq0b,1200,Inf,900,950,2.15e+00,4.95e-01,1
eq2j,eq0b,200,400,200,Inf,4.37e+03,5.98e+01,4365
eq2j,eq0b,400,600,200,400,4.16e+02,1.54e+01,437
eq2j,eq0b,400,600,400,500,3.02e+02,1.26e+01,336
eq2j,eq0b,400,600,500,550,7.18e-07,1.90e-08,0
eq2j,eq0b,600,900,200,400,3.13e+01,2.97e+00,32
eq2j,eq0b,600,900,400,600,3.61e+01,1.74e+00,31
eq2j,eq0b,600,900,600,700,4.31e+01,3.22e+00,35
eq2j,eq0b,600,900,700,750,1.11e-07,5.14e-09,0
eq2j,eq0b,900,1200,200,400,2.07e+01,2.43e+00,23
eq2j,eq0b,900,1200,400,600,1.61e+01,1.58e+00,18
eq2j,eq0b,900,1200,600,900,1.08e+01,1.34e+00,11
eq2j,eq0b,900,1200,900,950,4.23e+00,7.52e-01,3
eq2j,eq1b,1200,Inf,200,400,8.65e-02,2.37e-02,0
eq2j,eq1b,1200,Inf,400,600,3.02e-01,5.80e-02,1
eq2j,eq1b,1200,Inf,600,900,2.06e-01,4.03e-02,0
eq2j,eq1b,1200,Inf,900,950,2.23e-01,5.04e-02,0
eq2j,eq1b,200,400,200,Inf,5.02e+02,1.07e+01,493
eq2j,eq1b,400,600,200,400,3.92e+01,1.69e+00,33
eq2j,eq1b,400,600,400,500,3.38e+01,1.55e+00,23
eq2j,eq1b,400,600,500,550,7.40e-08,2.57e-09,0
eq2j,eq1b,600,900,200,400,3.53e+00,3.25e-01,2
eq2j,eq1b,600,900,400,600,3.89e+00,1.96e-01,10
eq2j,eq1b,600,900,600,700,4.50e+00,3.29e-01,4
eq2j,eq1b,600,900,700,750,1.32e-08,1.01e-09,0
eq2j,eq1b,900,1200,200,400,2.37e+00,2.93e-01,0
eq2j,eq1b,900,1200,400,600,1.98e+00,2.09e-01,0
eq2j,eq1b,900,1200,600,900,1.07e+00,1.40e-01,4
eq2j,eq1b,900,1200,900,950,4.83e-01,8.63e-02,0
eq2j,eq2b,200,400,200,Inf,3.15e+01,1.27e+00,20
eq2j,eq2b,400,600,200,400,1.87e+00,1.16e-01,5
eq2j,eq2b,400,600,400,500,2.37e+00,1.28e-01,0
eq2j,eq2b,400,600,500,550,5.67e-09,1.26e-09,0
eq2j,eq2b,600,Inf,200,400,2.63e-01,9.29e-02,0
eq2j,eq2b,600,Inf,400,600,3.06e-01,8.28e-02,0
eq2j,eq2b,600,Inf,600,700,3.49e-01,6.29e-02,1
eq2j,eq2b,600,Inf,700,750,1.39e-01,1.11e-01,0
eq3j,eq0b,1200,Inf,200,400,1.77e+00,3.49e-01,3
eq3j,eq0b,1200,Inf,400,600,5.03e+00,7.07e-01,2
eq3j,eq0b,1200,Inf,600,900,3.90e+00,5.76e-01,5
eq3j,eq0b,1200,Inf,900,950,2.91e+00,5.48e-01,2
eq3j,eq0b,200,400,200,Inf,1.47e+03,3.00e+01,1451
eq3j,eq0b,400,600,200,400,8.44e+02,2.29e+01,851
eq3j,eq0b,400,600,400,500,1.83e+02,7.72e+00,169
eq3j,eq0b,400,600,500,550,1.03e-06,2.55e-08,0
eq3j,eq0b,600,900,200,400,7.17e+01,4.08e+00,65
eq3j,eq0b,600,900,400,600,6.59e+01,3.44e+00,66
eq3j,eq0b,600,900,600,700,2.82e+01,2.38e+00,28
eq3j,eq0b,600,900,700,750,1.66e-07,7.26e-09,0
eq3j,eq0b,900,1200,200,400,2.98e+01,2.65e+00,29
eq3j,eq0b,900,1200,400,600,2.03e+01,1.66e+00,26
eq3j,eq0b,900,1200,600,900,1.33e+01,1.55e+00,12
eq3j,eq0b,900,1200,900,950,3.52e+00,5.69e-01,1
eq3j,eq1b,1200,Inf,200,400,3.18e-01,6.25e-02,0
eq3j,eq1b,1200,Inf,400,600,8.16e-01,1.19e-01,2
eq3j,eq1b,1200,Inf,600,900,6.23e-01,9.36e-02,0
eq3j,eq1b,1200,Inf,900,950,4.98e-01,9.24e-02,2
eq3j,eq1b,200,400,200,Inf,3.29e+02,9.19e+00,335
eq3j,eq1b,400,600,200,400,1.55e+02,4.92e+00,156
eq3j,eq1b,400,600,400,500,3.15e+01,1.29e+00,41
eq3j,eq1b,400,600,500,550,1.86e-07,5.45e-09,0
eq3j,eq1b,600,900,200,400,1.11e+01,6.62e-01,7
eq3j,eq1b,600,900,400,600,9.86e+00,5.14e-01,14
eq3j,eq1b,600,900,600,700,4.43e+00,3.72e-01,5
eq3j,eq1b,600,900,700,750,2.54e-08,1.17e-09,0
eq3j,eq1b,900,1200,200,400,5.56e+00,5.22e-01,5
eq3j,eq1b,900,1200,400,600,3.22e+00,2.74e-01,5
eq3j,eq1b,900,1200,600,900,2.18e+00,2.57e-01,2
eq3j,eq1b,900,1200,900,950,5.40e-01,9.88e-02,0
eq3j,eq2b,1200,Inf,200,400,3.30e-02,7.34e-03,0
eq3j,eq2b,1200,Inf,400,600,8.90e-02,1.55e-02,0
eq3j,eq2b,1200,Inf,600,900,6.36e-02,1.05e-02,0
eq3j,eq2b,1200,Inf,900,950,5.04e-02,9.44e-03,0
eq3j,eq2b,200,400,200,Inf,5.84e+01,2.55e+00,63
eq3j,eq2b,400,600,200,400,2.71e+01,1.17e+00,28
eq3j,eq2b,400,600,400,500,3.81e+00,1.71e-01,8
eq3j,eq2b,400,600,500,550,3.20e-08,1.46e-09,0
eq3j,eq2b,600,900,200,400,1.06e+00,7.70e-02,1
eq3j,eq2b,600,900,400,600,1.18e+00,7.25e-02,2
eq3j,eq2b,600,900,600,700,4.40e-01,3.88e-02,0
eq3j,eq2b,600,900,700,750,2.68e-09,1.47e-10,0
eq3j,eq2b,900,1200,200,400,5.16e-01,5.61e-02,0
eq3j,eq2b,900,1200,400,600,2.62e-01,2.48e-02,1
eq3j,eq2b,900,1200,600,900,1.92e-01,2.36e-02,0
eq3j,eq2b,900,1200,900,950,5.03e-02,9.66e-03,0
eq3j,eq3b,200,400,200,Inf,1.86e+00,3.21e-01,3
eq3j,eq3b,400,600,200,400,7.65e-01,1.20e-01,1
eq3j,eq3b,400,600,400,500,1.02e-01,1.06e-02,0
eq3j,eq3b,400,600,500,550,2.09e-09,9.25e-10,0
eq3j,eq3b,600,Inf,200,400,3.40e-02,5.24e-03,0
eq3j,eq3b,600,Inf,400,600,3.36e-02,5.67e-03,0
eq3j,eq3b,600,Inf,600,700,1.38e-02,1.63e-03,0
eq3j,eq3b,600,Inf,700,750,7.38e-04,7.12e-04,0
eq4j,eq0b,1200,Inf,200,400,2.05e+00,4.57e-01,1
eq4j,eq0b,1200,Inf,400,600,4.77e+00,6.80e-01,1
eq4j,eq0b,1200,Inf,600,900,3.67e+00,5.97e-01,3
eq4j,eq0b,1200,Inf,900,950,2.38e+00,4.94e-01,4
eq4j,eq0b,400,600,200,400,5.44e+02,2.00e+01,534
eq4j,eq0b,400,600,400,500,5.55e+01,4.28e+00,42
eq4j,eq0b,400,600,500,550,5.99e-07,2.21e-08,0
eq4j,eq0b,600,900,200,400,9.16e+01,5.40e+00,92
eq4j,eq0b,600,900,400,600,5.89e+01,3.46e+00,70
eq4j,eq0b,600,900,600,700,1.24e+01,1.15e+00,12
eq4j,eq0b,600,900,700,750,1.63e-07,7.01e-09,0
eq4j,eq0b,900,1200,200,400,2.12e+01,2.03e+00,20
eq4j,eq0b,900,1200,400,600,1.27e+01,1.08e+00,19
eq4j,eq0b,900,1200,600,900,6.85e+00,8.50e-01,9
eq4j,eq0b,900,1200,900,950,9.86e-01,1.72e-01,1
eq4j,eq1b,1200,Inf,200,400,5.64e-01,1.15e-01,0
eq4j,eq1b,1200,Inf,400,600,1.44e+00,1.96e-01,0
eq4j,eq1b,1200,Inf,600,900,7.54e-01,1.16e-01,1
eq4j,eq1b,1200,Inf,900,950,5.52e-01,1.12e-01,2
eq4j,eq1b,400,600,200,400,1.85e+02,8.25e+00,175
eq4j,eq1b,400,600,400,500,1.45e+01,9.52e-01,18
eq4j,eq1b,400,600,500,550,2.01e-07,8.65e-09,0
eq4j,eq1b,600,900,200,400,2.29e+01,1.30e+00,27
eq4j,eq1b,600,900,400,600,1.29e+01,7.07e-01,11
eq4j,eq1b,600,900,600,700,2.34e+00,2.08e-01,1
eq4j,eq1b,600,900,700,750,3.81e-08,1.71e-09,0
eq4j,eq1b,900,1200,200,400,5.41e+00,5.22e-01,10
eq4j,eq1b,900,1200,400,600,2.86e+00,2.54e-01,4
eq4j,eq1b,900,1200,600,900,1.32e+00,1.57e-01,2
eq4j,eq1b,900,1200,900,950,1.82e-01,3.45e-02,0
eq4j,eq2b,1200,Inf,200,400,7.92e-02,1.71e-02,0
eq4j,eq2b,1200,Inf,400,600,2.09e-01,3.24e-02,0
eq4j,eq2b,1200,Inf,600,900,8.32e-02,1.32e-02,0
eq4j,eq2b,1200,Inf,900,950,7.71e-02,1.59e-02,0
eq4j,eq2b,400,600,200,400,6.26e+01,3.53e+00,73
eq4j,eq2b,400,600,400,500,3.19e+00,2.50e-01,4
eq4j,eq2b,400,600,500,550,7.22e-08,5.78e-09,0
eq4j,eq2b,600,900,200,400,4.39e+00,2.98e-01,5
eq4j,eq2b,600,900,400,600,2.43e+00,1.49e-01,2
eq4j,eq2b,600,900,600,700,3.35e-01,3.13e-02,0
eq4j,eq2b,600,900,700,750,7.16e-09,3.99e-10,0
eq4j,eq2b,900,1200,200,400,8.98e-01,1.05e-01,0
eq4j,eq2b,900,1200,400,600,4.39e-01,4.56e-02,0
eq4j,eq2b,900,1200,600,900,1.90e-01,2.30e-02,0
eq4j,eq2b,900,1200,900,950,3.04e-02,6.05e-03,0
eq4j,eq3b,400,600,200,400,5.56e+00,4.98e-01,5
eq4j,eq3b,400,600,400,500,2.61e-01,2.62e-02,0
eq4j,eq3b,400,600,500,550,1.54e-08,5.54e-09,0
eq4j,eq3b,600,900,200,400,3.75e-01,4.67e-02,0
eq4j,eq3b,600,900,400,600,1.85e-01,1.95e-02,0
eq4j,eq3b,600,900,600,700,2.46e-02,2.76e-03,0
eq4j,eq3b,600,900,700,750,5.85e-10,6.39e-11,0
eq4j,eq3b,900,Inf,200,400,6.72e-02,2.09e-02,0
eq4j,eq3b,900,Inf,400,600,3.44e-02,1.10e-02,0
eq4j,eq3b,900,Inf,600,900,6.93e-03,2.21e-03,0
eq4j,eq3b,900,Inf,900,950,7.48e-04,2.71e-04,0
eq5j,eq0b,1200,Inf,200,400,1.61e+00,3.32e-01,2
eq5j,eq0b,1200,Inf,400,600,2.17e+00,3.72e-01,4
eq5j,eq0b,1200,Inf,600,900,1.38e+00,2.81e-01,2
eq5j,eq0b,1200,Inf,900,950,7.20e-01,2.02e-01,2
eq5j,eq0b,400,600,200,400,1.36e+02,7.35e+00,131
eq5j,eq0b,400,600,400,500,7.59e+00,1.17e+00,6
eq5j,eq0b,400,600,500,550,1.43e-07,7.71e-09,0
eq5j,eq0b,600,900,200,400,5.96e+01,4.18e+00,48
eq5j,eq0b,600,900,400,600,2.11e+01,2.19e+00,18
eq5j,eq0b,600,900,600,700,2.90e+00,5.57e-01,1
eq5j,eq0b,600,900,700,750,8.36e-08,5.33e-09,0
eq5j,eq0b,900,1200,200,400,1.73e+01,2.09e+00,23
eq5j,eq0b,900,1200,400,600,7.51e+00,8.43e-01,7
eq5j,eq0b,900,1200,600,700,3.34e+00,5.84e-01,3
eq5j,eq0b,900,1200,700,750,1.30e+00,3.21e-01,1
eq5j,eq1b,1200,Inf,200,400,4.58e-01,8.71e-02,2
eq5j,eq1b,1200,Inf,400,600,6.43e-01,1.06e-01,1
eq5j,eq1b,1200,Inf,600,900,3.22e-01,6.37e-02,0
eq5j,eq1b,1200,Inf,900,950,2.06e-01,5.66e-02,0
eq5j,eq1b,400,600,200,400,6.82e+01,4.14e+00,75
eq5j,eq1b,400,600,400,500,2.51e+00,2.77e-01,6
eq5j,eq1b,400,600,500,550,7.07e-08,4.24e-09,0
eq5j,eq1b,600,900,200,400,2.25e+01,1.68e+00,24
eq5j,eq1b,600,900,400,600,6.45e+00,5.92e-01,10
eq5j,eq1b,600,900,600,700,7.18e-01,1.29e-01,1
eq5j,eq1b,600,900,700,750,2.96e-08,2.08e-09,0
eq5j,eq1b,900,1200,200,400,5.17e+00,5.82e-01,2
eq5j,eq1b,900,1200,400,600,2.06e+00,2.18e-01,0
eq5j,eq1b,900,1200,600,700,8.20e-01,1.32e-01,0
eq5j,eq1b,900,1200,700,750,2.99e-01,7.18e-02,0
eq5j,eq2b,1200,Inf,200,400,9.42e-02,1.85e-02,0
eq5j,eq2b,1200,Inf,400,600,1.30e-01,2.17e-02,0
eq5j,eq2b,1200,Inf,600,900,5.14e-02,1.01e-02,0
eq5j,eq2b,1200,Inf,900,950,3.27e-02,9.23e-03,0
eq5j,eq2b,400,600,200,400,3.30e+01,2.49e+00,36
eq5j,eq2b,400,600,400,500,5.80e-01,6.61e-02,0
eq5j,eq2b,400,600,500,550,3.36e-08,2.52e-09,0
eq5j,eq2b,600,900,200,400,8.56e+00,7.77e-01,7
