njet,btag,htlow,hthigh,mhtlow,mhthigh,bkg,bkgErr,data
eq1j,eq0b,200,400,200,Inf,3.19e+04,3.64e+03,36361
eq1j,eq0b,400,600,200,Inf,9.21e+02,7.34e+01,1009
eq1j,eq0b,600,900,200,Inf,8.54e+01,2.44e+01,112
eq1j,eq0b,900,Inf,200,Inf,7.22e+00,3.70e+00,5
eq1j,eq1b,200,400,200,Inf,1.07e+03,1.17e+02,1457
eq1j,eq1b,400,600,200,Inf,3.90e+01,3.81e+00,44
eq1j,eq1b,600,Inf,200,Inf,4.65e+00,1.49e+00,10
eq2j,eq0b,1200,Inf,200,400,1.50e+00,5.79e-01,0
eq2j,eq0b,1200,Inf,400,600,4.23e+00,1.35e+00,1
eq2j,eq0b,1200,Inf,600,900,3.54e+00,1.73e+00,2
eq2j,eq0b,1200,Inf,900,950,2.64e+00,2.17e+00,1
eq2j,eq0b,200,400,200,Inf,3.64e+03,1.04e+03,4365
eq2j,eq0b,400,600,200,400,4.03e+02,1.08e+02,437
eq2j,eq0b,400,600,400,500,2.68e+02,8.95e+01,336
eq2j,eq0b,400,600,500,550,7.12e-07,1.77e-07,0
eq2j,eq0b,600,900,200,400,3.42e+01,1.04e+01,32
eq2j,eq0b,600,900,400,600,3.31e+01,1.01e+01,31
eq2j,eq0b,600,900,600,700,3.51e+01,1.60e+01,35
eq2j,eq0b,600,900,700,750,4.01e-07,2.93e-07,0
eq2j,eq0b,900,1200,200,400,2.26e+01,6.26e+00,23
eq2j,eq0b,900,1200,400,600,1.65e+01,4.64e+00,18
eq2j,eq0b,900,1200,600,900,9.91e+00,4.71e+00,11
eq2j,eq0b,900,1200,900,950,3.70e+00,2.60e+00,3
eq2j,eq1b,1200,Inf,200,400,1.25e-01,4.72e-02,0
eq2j,eq1b,1200,Inf,400,600,3.78e-01,1.15e-01,1
eq2j,eq1b,1200,Inf,600,900,2.31e-01,1.11e-01,0
eq2j,eq1b,1200,Inf,900,950,2.17e-01,1.79e-01,0
eq2j,eq1b,200,400,200,Inf,3.74e+02,1.05e+02,493
eq2j,eq1b,400,600,200,400,3.32e+01,8.82e+00,33
eq2j,eq1b,400,600,400,500,2.63e+01,8.33e+00,23
eq2j,eq1b,400,600,500,550,4.01e-07,3.38e-07,0
eq2j,eq1b,600,900,200,400,3.12e+00,9.44e-01,2
eq2j,eq1b,600,900,400,600,3.00e+00,9.02e-01,10
eq2j,eq1b,600,900,600,700,3.19e+00,1.39e+00,4
eq2j,eq1b,600,900,700,750,4.01e-07,3.90e-07,0
eq2j,eq1b,900,1200,200,400,2.22e+00,6.04e-01,0
eq2j,eq1b,900,1200,400,600,1.75e+00,4.95e-01,0
eq2j,eq1b,900,1200,600,900,8.58e-01,4.00e-01,4
eq2j,eq1b,900,1200,900,950,3.63e-01,2.54e-01,0
eq2j,eq2b,200,400,200,Inf,2.52e+01,7.08e+00,20
eq2j,eq2b,400,600,200,400,1.62e+00,4.50e-01,5
eq2j,eq2b,400,600,400,500,1.88e+00,5.89e-01,0
eq2j,eq2b,400,600,500,550,4.01e-07,3.96e-07,0
eq2j,eq2b,600,Inf,200,400,2.06e-01,6.35e-02,0
eq2j,eq2b,600,Inf,400,600,2.23e-01,6.42e-02,0
eq2j,eq2b,600,Inf,600,700,2.48e-01,1.07e-01,1
eq2j,eq2b,600,Inf,700,750,7.68e-02,4.22e-02,0
eq3j,eq0b,1200,Inf,200,400,2.80e+00,7.89e-01,3
eq3j,eq0b,1200,Inf,400,600,6.74e+00,1.82e+00,2
eq3j,eq0b,1200,Inf,600,900,4.50e+00,1.85e+00,5
eq3j,eq0b,1200,Inf,900,950,2.74e+00,1.95e+00,2
eq3j,eq0b,200,400,200,Inf,1.29e+03,2.45e+02,1451
eq3j,eq0b,400,600,200,400,8.36e+02,1.48e+02,851
eq3j,eq0b,400,600,400,500,1.74e+02,3.32e+01,169
eq3j,eq0b,400,600,500,550,1.01e-06,1.72e-07,0
eq3j,eq0b,600,900,200,400,8.76e+01,1.61e+01,65
eq3j,eq0b,600,900,400,600,7.30e+01,1.44e+01,66
eq3j,eq0b,600,900,600,700,2.91e+01,9.89e+00,28
eq3j,eq0b,600,900,700,750,4.00e-07,2.10e-07,0
eq3j,eq0b,900,1200,200,400,3.47e+01,6.03e+00,29
eq3j,eq0b,900,1200,400,600,2.29e+01,4.36e+00,26
eq3j,eq0b,900,1200,600,900,1.38e+01,5.07e+00,12
eq3j,eq0b,900,1200,900,950,3.55e+00,1.88e+00,1
eq3j,eq1b,1200,Inf,200,400,3.86e-01,1.03e-01,0
eq3j,eq1b,1200,Inf,400,600,8.65e-01,2.30e-01,2
eq3j,eq1b,1200,Inf,600,900,5.83e-01,2.41e-01,0
eq3j,eq1b,1200,Inf,900,950,3.91e-01,2.78e-01,2
eq3j,eq1b,200,400,200,Inf,2.78e+02,5.22e+01,335
eq3j,eq1b,400,600,200,400,1.40e+02,2.44e+01,156
eq3j,eq1b,400,600,400,500,2.77e+01,5.05e+00,41
eq3j,eq1b,400,600,500,550,4.01e-07,2.33e-07,0
eq3j,eq1b,600,900,200,400,1.15e+01,2.07e+00,7
eq3j,eq1b,600,900,400,600,9.50e+00,1.84e+00,14
eq3j,eq1b,600,900,600,700,3.97e+00,1.30e+00,5
eq3j,eq1b,600,900,700,750,4.00e-07,3.75e-07,0
eq3j,eq1b,900,1200,200,400,4.90e+00,8.63e-01,5
eq3j,eq1b,900,1200,400,600,2.84e+00,5.58e-01,5
eq3j,eq1b,900,1200,600,900,1.84e+00,6.71e-01,2
eq3j,eq1b,900,1200,900,950,5.20e-01,2.30e-01,0
eq3j,eq2b,1200,Inf,200,400,3.09e-02,8.40e-03,0
eq3j,eq2b,1200,Inf,400,600,7.63e-02,2.02e-02,0
eq3j,eq2b,1200,Inf,600,900,5.08e-02,2.13e-02,0
eq3j,eq2b,1200,Inf,900,950,3.41e-02,2.50e-02,0
eq3j,eq2b,200,400,200,Inf,5.42e+01,1.07e+01,63
eq3j,eq2b,400,600,200,400,2.71e+01,5.05e+00,28
eq3j,eq2b,400,600,400,500,3.47e+00,6.43e-01,8
eq3j,eq2b,400,600,500,550,4.01e-07,3.69e-07,0
eq3j,eq2b,600,900,200,400,1.14e+00,2.16e-01,1
eq3j,eq2b,600,900,400,600,1.18e+00,2.30e-01,2
eq3j,eq2b,600,900,600,700,4.04e-01,1.37e-01,0
eq3j,eq2b,600,900,700,750,4.00e-07,3.97e-07,0
eq3j,eq2b,900,1200,200,400,4.21e-01,7.61e-02,0
eq3j,eq2b,900,1200,400,600,2.18e-01,4.42e-02,1
eq3j,eq2b,900,1200,600,900,1.52e-01,5.62e-02,0
eq3j,eq2b,900,1200,900,950,4.49e-02,2.35e-02,0
eq3j,eq3b,200,400,200,Inf,1.59e+00,3.39e-01,3
eq3j,eq3b,400,600,200,400,1.04e+00,2.07e-01,1
eq3j,eq3b,400,600,400,500,9.77e-02,1.87e-02,0
eq3j,eq3b,400,600,500,550,4.01e-07,3.99e-07,0
eq3j,eq3b,600,Inf,200,400,4.42e-02,8.39e-03,0
eq3j,eq3b,600,Inf,400,600,4.11e-02,7.96e-03,0
eq3j,eq3b,600,Inf,600,700,1.60e-02,5.35e-03,0
eq3j,eq3b,600,Inf,700,750,7.38e-03,3.68e-03,0
eq4j,eq0b,1200,Inf,200,400,3.01e+00,8.57e-01,1
eq4j,eq0b,1200,Inf,400,600,5.46e+00,1.14e+00,1
eq4j,eq0b,1200,Inf,600,900,3.38e+00,1.23e+00,3
eq4j,eq0b,1200,Inf,900,950,1.76e+00,1.14e+00,4
eq4j,eq0b,400,600,200,400,6.27e+02,7.76e+01,534
