     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high            bkg       bkg_err         bkgTtw    bkgTtw_err        bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  254856.062500  30252.210360  106468.924072  15582.142920  148286.030762  15648.955952  1.011181e+02  9.479428e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf    7342.193848    610.368118    2046.065643    299.470271    5295.739380    356.184072  3.891000e-01  3.478463e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf     680.055298    206.426076     135.832497     50.333906     544.187103    139.906597  3.570000e-02  3.324973e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf      56.934498     31.610115       7.388700      5.291219      49.545799     26.469701  1.000000e-12  1.101668e-12      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf    8864.285156   1044.899612    2980.197578    427.267478    5880.569885    635.334686  3.517200e+00  3.260837e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf     334.577576     32.378950      87.164502     13.158535     247.395290     20.605810  1.780000e-02  1.585494e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf      41.520100     13.149997       7.202900      2.756497      34.314999     10.557877  2.200000e-03  2.148273e-03      71.0     8.426150       8.426150
7    eq2j  eq0b   200.0   400.000000        0      200         inf   29224.531250   6798.583570   12906.873413   2702.486027   16221.455566   3039.729061  9.620200e+01  8.273159e+01   34934.0   186.906394     186.906394
8    eq2j  eq0b   400.0   600.000000        0      200  400.000000    3274.273438    759.706865    1226.384644    297.185883    1968.364197    465.702424  7.952469e+01  6.531241e+01    3468.0    58.889727      58.889727
9    eq2j  eq0b   400.0   600.000000        1      400         inf    2176.893066    560.180774     644.049347    194.071522    1479.979492    378.718385  5.286411e+01  4.272799e+01    2568.0    50.675438      50.675438
10   eq2j  eq0b   600.0   900.000000        0      200  400.000000     276.672485     73.953216     102.961299     29.182215     166.991512     52.904443  6.719683e+00  5.151760e+00     226.0    15.033296      15.033296
11   eq2j  eq0b   600.0   900.000000        1      400  600.000000     268.382141     65.098464      76.048946     21.607595     185.813478     42.007027  6.519713e+00  4.972586e+00     253.0    15.905974      15.905974
12   eq2j  eq0b   600.0   900.000000        2      600         inf     284.567871    110.911913      57.184454     26.112947     220.472107     77.632856  6.911304e+00  5.210749e+00     303.0    17.406895      17.406895
13   eq2j  eq0b   900.0  1200.000000        0      200  400.000000     179.342911     54.620063      67.133066     21.331415     112.209850     37.430836  8.130696e-07  7.613074e-07     165.0    12.845233      12.845233
14   eq2j  eq0b   900.0  1200.000000        1      400  600.000000     130.910461     34.610272      37.062791     12.240959      93.847662     21.153508  5.936437e-07  5.424976e-07     125.0    11.180340      11.180340
15   eq2j  eq0b   900.0  1200.000000        2      600  900.000000      78.662025     35.510936      17.927604      9.367331      60.734421     24.845191  3.565847e-07  3.265927e-07      97.0     9.848858       9.848858
16   eq2j  eq0b   900.0  1200.000000        3      900         inf      29.319504     19.349920       4.602739      3.436067      24.716763     14.998638  1.999686e-12  1.792693e-12      25.0     5.804900       4.666400
