     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high           bkg       bkg_err        bkgTtw    bkgTtw_err       bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  2.913779e+05  9.750307e+02  1.235220e+05  5.990786e+03  1.677548e+05  7.005530e+03  1.010424e+02  9.618030e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf  8.542825e+03  8.797012e+01  2.313879e+03  1.325398e+02  6.228557e+03  2.748635e+02  3.892330e-01  2.973152e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf  8.784914e+02  3.063925e+01  2.012296e+02  1.614483e+01  6.772262e+02  5.879234e+01  3.569959e-02  2.833286e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf  5.903530e+01  7.042163e+00  7.925499e+00  1.619397e+00  5.110980e+01  6.885916e+00  1.000000e-12  9.909941e-13      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf  1.105337e+04  1.070498e+02  4.082621e+03  2.325568e+02  6.967237e+03  4.084175e+02  3.514668e+00  3.302718e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf  4.128026e+02  1.911119e+01  1.130174e+02  1.018325e+01  2.997674e+02  4.649511e+01  1.780604e-02  1.358439e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf  7.218361e+01  8.390052e+00  1.156043e+01  2.263219e+00  6.062126e+01  1.802917e+01  1.919278e-03  1.522397e-03      71.0     8.426150       8.426150
7    eq1j  eq1b   900.0          NaN        0      900         inf           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
8    eq2j  eq0b   200.0   400.000000        0      200         inf  3.488532e+04  2.088839e+02  1.479993e+04  8.916808e+02  1.998888e+04  1.132320e+03  9.650696e+01  8.099721e+01   34934.0   186.906394     186.906394
9    eq2j  eq0b   400.0   600.000000        0      200  400.000000  3.451267e+03  1.221921e+02  1.192149e+03  1.091963e+02  2.106792e+03  1.580800e+02  1.523267e+02  1.730113e+02    3468.0    58.889727      58.889727
10   eq2j  eq0b   400.0   600.000000        1      400         inf  2.522493e+03  8.252612e+01  7.283445e+02  9.595610e+01  1.694893e+03  1.394889e+02  9.925602e+01  1.141031e+02    2568.0    50.675438      50.675438
11   eq2j  eq0b   600.0   900.000000        0      200  400.000000  2.378435e+02  1.114654e+01  9.311133e+01  1.370542e+01  1.397287e+02  1.821702e+01  5.003481e+00  4.159082e+00     226.0    15.033296      15.033296
12   eq2j  eq0b   600.0   900.000000        1      400  600.000000  2.710860e+02  8.569171e+00  7.497349e+01  7.600069e+00  1.912469e+02  1.102692e+01  4.865599e+00  4.043166e+00     253.0    15.905974      15.905974
13   eq2j  eq0b   600.0   900.000000        2      600         inf  3.192959e+02  1.282754e+01  6.141321e+01  9.851759e+00  2.525552e+02  2.056816e+01  5.327447e+00  4.626950e+00     303.0    17.406895      17.406895
14   eq2j  eq0b   900.0  1200.000000        0      200  400.000000  1.646937e+02  9.789360e+00  5.970988e+01  9.201477e+00  1.049838e+02  1.580905e+01  8.130040e-07  6.609417e-07     165.0    12.845233      12.845233
15   eq2j  eq0b   900.0  1200.000000        1      400  600.000000  1.273832e+02  6.168389e+00  3.449670e+01  5.133660e+00  9.288647e+01  1.036132e+01  5.935104e-07  4.749429e-07     125.0    11.180340      11.180340
16   eq2j  eq0b   900.0  1200.000000        2      600  900.000000  8.434570e+01  4.807981e+00  1.809667e+01  3.571636e+00  6.624904e+01  8.146260e+00  3.567837e-07  2.856238e-07      97.0     9.848858       9.848858
17   eq2j  eq0b   900.0  1200.000000        3      900         inf  3.323419e+01  2.863586e+00  5.010351e+00  1.396178e+00  2.822384e+01  4.725867e+00  1.999226e-12  1.581958e-12      25.0     5.804900       4.666400
