     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high            bkg     bkg_err         bkgTtw   bkgTtw_err        bkgZinv  bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  291376.906250  883.035809  123422.850586  5488.444813  167853.026855  6511.572605  1.010469e+02  8.608671e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf    8543.050781   99.479860    2305.481232   132.490621    6237.179810   273.278256  3.892328e-01  3.449318e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf     878.616272   29.156024     201.850286    17.411878     676.730278    57.545157  3.569986e-02  2.777282e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf      59.603592    7.031997       7.875772     1.542002      51.727821     6.959875  1.000000e-12  1.163345e-12      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf   11053.676758  104.735852    4076.914474   206.673439    6973.247314   407.228486  3.514817e+00  2.976415e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf     412.872009   19.786997     112.879133    10.481434     299.975067    44.542794  1.780603e-02  1.571754e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf      71.561058    7.791791      10.406956     2.157301      61.151901     8.219219  2.199982e-03  1.759220e-03      71.0     8.426150       8.426150
7    eq2j  eq0b   200.0   400.000000        0      200         inf   34885.742188  223.801072   14765.088135   884.541392   20024.158691  1127.364956  9.649554e+01  8.965066e+01   34934.0   186.906394     186.906394
8    eq2j  eq0b   400.0   600.000000        0      200  400.000000    3448.621338  182.627579    1189.684418   104.503736    2101.456116   162.793196  1.574809e+02  2.435486e+02    3468.0    58.889727      58.889727
9    eq2j  eq0b   400.0   600.000000        1      400         inf    2525.520752  113.139858     718.373184    99.376637    1705.302673   142.732490  1.018449e+02  1.529706e+02    2568.0    50.675438      50.675438
10   eq2j  eq0b   600.0   900.000000        0      200  400.000000     240.315216   12.749690      94.836972    14.497902     140.442030    20.172709  5.036210e+00  3.291561e+00     226.0    15.033296      15.033296
11   eq2j  eq0b   600.0   900.000000        1      400  600.000000     269.917633    9.147217      73.921214     7.141732     191.098789    11.588383  4.897638e+00  3.191508e+00     253.0    15.905974      15.905974
12   eq2j  eq0b   600.0   900.000000        2      600         inf     317.013458   12.929900      59.426501     9.346022     252.224709    20.310024  5.362246e+00  3.404424e+00     303.0    17.406895      17.406895
13   eq2j  eq0b   900.0  1200.000000        0      200  400.000000     164.461426   10.163588      60.308498     9.505714     104.152935    16.285891  8.130106e-07  7.314175e-07     165.0    12.845233      12.845233
14   eq2j  eq0b   900.0  1200.000000        1      400  600.000000     127.928864    6.387860      34.435226     5.416047      93.493633    11.680302  5.935185e-07  5.173232e-07     125.0    11.180340      11.180340
15   eq2j  eq0b   900.0  1200.000000        2      600  900.000000      84.461678    5.085375      17.836820     3.728148      66.624856     9.174998  3.567690e-07  3.098990e-07      97.0     9.848858       9.848858
16   eq2j  eq0b   900.0  1200.000000        3      900         inf      33.052124    2.842882       4.862645     1.446693      28.189478     5.039675  1.999148e-12  1.628686e-12      25.0     5.804900       4.666400
17   eq2j  eq0b  1200.0          inf        0      200  400.000000       7.399262    0.976324       2.505994     0.681456       4.893269     1.057348  1.398893e-07  1.205803e-07       9.0     3.790500       2.665800
18   eq2j  eq0b  1200.0          inf        1      400  600.000000      23.415159    2.212797       5.820689     0.787714      17.594469     2.296026  3.946473e-07  3.401742e-07      26.0     5.811000       5.200900
19   eq2j  eq0b  1200.0          inf        2      600  900.000000      22.131496    2.181490       4.339722     0.646576      17.791775     2.216100  3.311001e-07  2.853983e-07      22.0     5.315000       4.695700
20   eq2j  eq0b  1200.0          inf        3      900         inf      19.039652    2.374436       2.760445     0.656878      16.279207     2.444160  2.463634e-07  2.123578e-07      19.0     4.824700       4.180600
21   eq2j  eq1b   200.0   400.000000        0      200         inf    3895.948730   64.401368    2190.753174   138.474133    1695.256104   200.058144  9.939827e+00  9.284997e+00    3850.0    62.048368      62.048368
22   eq2j  eq1b   400.0   600.000000        0      200  400.000000     323.245667   20.585403     110.297976    12.450132     199.180790    20.904614  1.376692e+01  2.171401e+01     327.0    18.083141      18.083141
23   eq2j  eq1b   400.0   600.000000        1      400         inf     269.477539   14.782706     100.258253    10.439844     159.240532    18.046494  9.978743e+00  1.462147e+01     240.0    15.491933      15.491933
24   eq2j  eq1b   600.0   900.000000        0      200  400.000000      28.165272    2.282672      10.531457     1.809083      17.138725     3.421627  4.950898e-01  3.192392e-01      22.0     5.315000       4.695700
25   eq2j  eq1b   600.0   900.000000        1      400  600.000000      30.812668    2.336223       8.974652     0.972439      21.374365     3.056611  4.636525e-01  3.021767e-01      39.0     6.244998       6.244998
26   eq2j  eq1b   600.0   900.000000        2      600         inf      36.304562    2.914634       8.787494     1.419204      27.005774     4.431200  5.112939e-01  3.250240e-01      31.0     5.567764       5.567764
27   eq2j  eq1b   900.0  1200.000000        0      200  400.000000      21.105572    2.568519       6.340958     1.358159      14.764615     4.421864  1.999977e-12  1.628720e-12      17.0     4.808400       4.209500
28   eq2j  eq1b   900.0  1200.000000        1      400  600.000000      17.688316    2.179715       5.123909     1.096458      12.564409     3.572525  1.999938e-12  1.626848e-12      15.0     4.324900       3.681300
29   eq2j  eq1b   900.0  1200.000000        2      600  900.000000      10.196630    1.441404       1.329832     0.347408       8.866799     2.626742  2.000151e-12  1.627949e-12      12.0     4.292000       3.170900
30   eq2j  eq1b   900.0  1200.000000        3      900         inf       4.656459    0.730202       0.621231     0.208556       4.035228     1.298769  1.999935e-12  1.629711e-12       6.0     3.278300       2.176900
31   eq2j  eq1b  1200.0          inf        0      200  400.000000       1.044855    0.277749       0.384713     0.115600       0.660142     0.285812  1.000015e-12  8.620273e-13       1.0     1.750500       0.632100
32   eq2j  eq1b  1200.0          inf        1      400  600.000000       3.596643    0.896113       1.045841     0.221570       2.550802     0.914736  1.000027e-12  8.617551e-13       6.0     3.278300       2.176900
33   eq2j  eq1b  1200.0          inf        2      600  900.000000       2.518569    0.674224       0.512191     0.117682       2.006378     0.683142  9.999709e-13  8.623639e-13       1.0     1.750500       0.632100
34   eq2j  eq1b  1200.0          inf        3      900         inf       2.736180    0.786024       0.372514     0.116752       2.363666     0.797505  9.999873e-13  8.617461e-13       4.0     2.776400       1.664100
35   eq2j  eq2b   200.0   400.000000        0      200         inf     250.582291    9.514470     104.517214    14.367273     145.423683    20.394213  6.414019e-01  6.007357e-01     254.0    15.937377      15.937377
36   eq2j  eq2b   400.0   600.000000        0      200  400.000000      15.037950    1.151666       3.085575     0.628886      11.285664     1.307909  6.667110e-01  1.065479e+00      22.0     5.315000       4.695700
37   eq2j  eq2b   400.0   600.000000        1      400         inf      18.551195    1.224901       4.334697     0.717950      13.535508     1.502462  6.809904e-01  1.007654e+00      18.0     4.816900       4.194000
38   eq2j  eq2b   600.0          inf        0      200  400.000000       1.670562    0.243208       0.481239     0.129432       1.146245     0.242990  4.307692e-02  4.038947e-02       1.0     1.750500       0.632100
39   eq2j  eq2b   600.0          inf        1      400  600.000000       2.121268    0.253879       0.409076     0.101752       1.665187     0.240226  4.700543e-02  4.404090e-02       2.0     2.250400       1.264200
40   eq2j  eq2b   600.0          inf        2      600         inf       2.985108    0.378765       0.513639     0.148576       2.415767     0.378632  5.570164e-02  5.220042e-02       2.0     2.250400       1.264200
41   eq3j  eq0b   200.0   400.000000        0      200         inf   11888.746094  124.121020    5582.515628   359.509539    6173.145570   407.603382  1.330849e+02  1.104635e+02   11815.0   108.696826     108.696826
42   eq3j  eq0b   400.0   600.000000        0      200  400.000000    7101.224121   86.190280    2960.416138   173.889817    4115.719360   227.244991  2.508897e+01  2.220211e+01    7120.0    84.380092      84.380092
43   eq3j  eq0b   400.0   600.000000        1      400         inf    1476.671387   34.640865     488.872101    55.992586     982.506409    86.085279  5.292842e+00  4.574971e+00    1463.0    38.249183      38.249183
44   eq3j  eq0b   600.0   900.000000        0      200  400.000000     651.064209   20.425415     263.655571    26.112401     387.408653    35.599705  1.202304e-05  1.435140e-05     668.0    25.845696      25.845696
45   eq3j  eq0b   600.0   900.000000        1      400  600.000000     573.835938   17.334513     172.537674    16.218664     401.298233    25.817243  1.001794e-05  1.169548e-05     593.0    24.351591      24.351591
46   eq3j  eq0b   600.0   900.000000        2      600         inf     239.766907    9.898041      60.083527     7.818642     179.683365    16.234721  3.983024e-06  4.190584e-06     246.0    15.684387      15.684387
47   eq3j  eq0b   900.0  1200.000000        0      200  400.000000     241.912704   11.798114      84.451885    10.885762     157.460817    18.848872  4.883608e-07  3.760341e-07     245.0    15.652476      15.652476
48   eq3j  eq0b   900.0  1200.000000        1      400  600.000000     159.065277    7.837713      43.715183     5.508487     115.350090    12.600672  3.235148e-07  2.440215e-07     164.0    12.806248      12.806248
49   eq3j  eq0b   900.0  1200.000000        2      600  900.000000     100.224937    6.315631      21.306886     3.788565      78.918051     9.413047  1.359225e-07  1.138225e-07     101.0    10.049876      10.049876
50   eq3j  eq0b   900.0  1200.000000        3      900         inf      24.252548    2.166573       5.499480     1.121567      18.753068     3.129629  1.999538e-12  1.495936e-12      19.0     4.824700       4.180600
51   eq3j  eq0b  1200.0          inf        0      200  400.000000      15.536255    1.753955       4.146203     0.716945      11.071028     1.782090  3.190235e-01  2.343963e-01      21.0     5.307900       4.708000
52   eq3j  eq0b  1200.0          inf        1      400  600.000000      38.650997    3.205551       9.823452     1.309475      28.060762     3.138125  7.667838e-01  5.643150e-01      28.0     5.822300       5.183100
53   eq3j  eq0b  1200.0          inf        2      600  900.000000      27.920086    2.492065       5.639778     0.847593      21.768570     2.455452  5.117379e-01  3.793497e-01      31.0     5.567764       5.567764
54   eq3j  eq0b  1200.0          inf        3      900         inf      18.666666    2.243203       2.418637     0.455320      15.936975     2.234070  3.110547e-01  2.301994e-01      17.0     4.808400       4.209500
55   eq3j  eq1b   200.0   400.000000        0      200         inf    2692.654297   52.594460    1844.591492   121.170626     819.557429   120.395539  2.850548e+01  2.346017e+01    2703.0    51.990384      51.990384
56   eq3j  eq1b   400.0   600.000000        0      200  400.000000    1269.646851   26.702885     700.089302    45.086260     565.314606    52.178923  4.242922e+00  3.810628e+00    1212.0    34.813790      34.813790
57   eq3j  eq1b   400.0   600.000000        1      400         inf     268.525696   10.518046     118.113148    11.892518     149.569809    17.467934  8.427299e-01  7.107338e-01     301.0    17.349352      17.349352
58   eq3j  eq1b   600.0   900.000000        0      200  400.000000     104.888565    6.023664      43.066919     5.672070      61.821651     8.866152  1.629131e-06  1.945110e-06     110.0    10.488088      10.488088
59   eq3j  eq1b   600.0   900.000000        1      400  600.000000      90.442413    5.223479      29.337179     2.991226      61.105228     7.022459  1.340266e-06  1.552257e-06      96.0     9.797959       9.797959
60   eq3j  eq1b   600.0   900.000000        2      600         inf      39.156494    2.725802       9.685491     1.283459      29.471002     4.076013  5.638038e-07  5.848047e-07      42.0     6.480741       6.480741
61   eq3j  eq1b   900.0  1200.000000        0      200  400.000000      41.235905    3.563615      20.328832     3.195091      20.907074     4.699533  2.000031e-12  1.494949e-12      39.0     6.244998       6.244998
62   eq3j  eq1b   900.0  1200.000000        1      400  600.000000      24.214993    2.012281       9.457912     1.370281      14.757080     3.032232  2.000098e-12  1.495199e-12      24.0     5.327800       4.675100
