     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high            bkg     bkg_err         bkgTtw  bkgTtw_err        bkgZinv  bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  254856.074241  371.862158  106468.920237  295.092452  148286.035833   208.707129  1.011182e+02  8.742565e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf    7342.193875   28.820829    2046.065619   23.583443    5295.739145    16.563049  3.891114e-01  3.560855e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf     680.055247    3.982436     135.832472    2.053337     544.187108     3.412114  3.566649e-02  3.284851e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf      56.934442    0.935064       7.388680    0.312987      49.545762     0.881126  1.000000e-12  1.000000e-12      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf    8864.284717   27.410636    2980.197642   17.154674    5880.570030    21.166501  3.517045e+00  3.006555e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf     334.577528    2.689476      87.164521    2.053803     247.395276     1.736351  1.773148e-02  1.618254e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf      41.520093    0.407111       7.202934    0.215747      34.314982     0.345236  2.177583e-03  2.177583e-03      71.0     8.426150       8.426150
7    eq2j  eq0b   200.0   400.000000        0      200         inf   29224.531139  144.863895   12906.873346  102.306112   16221.455867    68.028748  9.620193e+01  7.675348e+01   34934.0   186.906394     186.906394
8    eq2j  eq0b   400.0   600.000000        0      200  400.000000    3274.273541   76.187238    1226.384700   18.537851    1968.364143    10.745332  7.952470e+01  7.311211e+01    3468.0    58.889727      58.889727
9    eq2j  eq0b   400.0   600.000000        1      400         inf    2176.893042   48.649246     644.049379   11.953555    1479.979540     8.592666  5.286412e+01  4.636839e+01    2568.0    50.675438      50.675438
10   eq2j  eq0b   600.0   900.000000        0      200  400.000000     276.672474    6.906270     102.961302    2.004336     166.991495     2.099986  6.719678e+00  6.266519e+00     226.0    15.033296      15.033296
11   eq2j  eq0b   600.0   900.000000        1      400  600.000000     268.382109    6.648475      76.048944    1.751756     185.813457     2.109748  6.519707e+00  6.056611e+00     253.0    15.905974      15.905974
