     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high           bkg       bkg_err        bkgTtw    bkgTtw_err       bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  2.548561e+05  3.145930e+04  1.064689e+05  1.629862e+04  1.482860e+05  1.669336e+04  1.011181e+02  7.219777e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf  7.342194e+03  6.808222e+02  2.046066e+03  3.403339e+02  5.295739e+03  3.568583e+02  3.891000e-01  3.482809e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf  6.800553e+02  2.171914e+02  1.358325e+02  5.531075e+01  5.441871e+02  1.445232e+02  3.570000e-02  3.540539e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf  5.693450e+01  3.296032e+01  7.388700e+00  5.862002e+00  4.954580e+01  2.733007e+01  1.000000e-12  9.981755e-13      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf  8.864285e+03  1.057189e+03  2.980198e+03  4.413384e+02  5.880570e+03  6.583063e+02  3.517200e+00  2.507180e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf  3.345776e+02  3.521015e+01  8.716450e+01  1.470230e+01  2.473953e+02  2.070811e+01  1.780000e-02  1.588119e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf  4.151992e+01  1.459609e+01  7.203000e+00  2.722124e+00  3.431500e+01  9.911330e+00  1.919300e-03  1.885496e-03      71.0     8.426150       8.426150
7    eq1j  eq1b   900.0          NaN        0      900         inf           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
8    eq2j  eq0b   200.0   400.000000        0      200         inf  2.922453e+04  6.810285e+03  1.290687e+04  2.626166e+03  1.622146e+04  3.132226e+03  9.620200e+01  7.539473e+01   34934.0   186.906394     186.906394
9    eq2j  eq0b   400.0   600.000000        0      200  400.000000  3.274273e+03  8.267088e+02  1.226385e+03  3.063337e+02  1.968364e+03  5.133020e+02  7.952469e+01  7.061825e+01    3468.0    58.889727      58.889727
10   eq2j  eq0b   400.0   600.000000        1      400         inf  2.176893e+03  5.597235e+02  6.440493e+02  1.975745e+02  1.479979e+03  3.682068e+02  5.286411e+01  4.927082e+01    2568.0    50.675438      50.675438
11   eq2j  eq0b   600.0   900.000000        0      200  400.000000  2.766725e+02  8.120180e+01  1.029613e+02  2.983332e+01  1.669915e+02  5.879975e+01  6.719683e+00  8.399728e+00     226.0    15.033296      15.033296
12   eq2j  eq0b   600.0   900.000000        1      400  600.000000  2.683821e+02  6.964130e+01  7.604895e+01  2.266511e+01  1.858135e+02  4.460303e+01  6.519713e+00  8.097414e+00     253.0    15.905974      15.905974
13   eq2j  eq0b   600.0   900.000000        2      600         inf  2.845679e+02  1.141320e+02  5.718445e+01  2.694952e+01  2.204721e+02  7.973013e+01  6.911304e+00  8.222100e+00     303.0    17.406895      17.406895
14   eq2j  eq0b   900.0  1200.000000        0      200  400.000000  1.793429e+02  5.184046e+01  6.713307e+01  1.749586e+01  1.122099e+02  3.780247e+01  8.130696e-07  7.798777e-07     165.0    12.845233      12.845233
15   eq2j  eq0b   900.0  1200.000000        1      400  600.000000  1.309105e+02  3.250599e+01  3.706279e+01  1.115527e+01  9.384766e+01  2.017212e+01  5.936437e-07  5.566914e-07     125.0    11.180340      11.180340
