nJet,nB,htLow,htHigh,bkg,bkgErrHigh,bkgErrLow,data
eq2j,eq0b,200,275,12410,370,410,13090
eq2j,eq0b,275,325,5540,340,230,5331
eq2j,eq0b,325,375,3330,130,170,3354
eq2j,eq0b,375,475,2400,120,90,2326
eq2j,eq0b,475,575,663,34,26,671
eq2j,eq0b,575,675,225,21,17,206
eq2j,eq0b,675,775,68.5,6.9,6.7,76
eq2j,eq0b,775,875,26.5,3.9,3.0,29
eq2j,eq0b,875,975,10.3,1.9,2.1,10
eq2j,eq0b,975,1075,5.1,1.0,1.1,9
eq2j,eq0b,1075,Inf,4.5,0.9,0.9,2
eq2j,eq1b,200,275,1669,65,67,1733
eq2j,eq1b,275,325,853,50,46,833
eq2j,eq1b,325,375,525,37,24,527
eq2j,eq1b,375,475,391,23,21,356
eq2j,eq1b,475,575,94.3,6.0,5.6,90
eq2j,eq1b,575,675,24.5,2.5,3.6,31
eq2j,eq1b,675,775,9.0,1.2,1.4,6
eq2j,eq1b,775,875,2.8,0.6,0.8,4
eq2j,eq1b,875,975,2.5,0.8,0.9,1
eq2j,eq1b,975,1075,0.3,0.2,0.1,0
eq2j,eq1b,1075,Inf,0.2,0.1,0.1,1
eq2j,eq2b,200,275,187,7,8,172
eq2j,eq2b,275,325,118,7,7,116
eq2j,eq2b,325,375,98.7,7.1,7.0,101
eq2j,eq2b,375,475,61.3,5.9,5.5,55
eq2j,eq2b,475,575,12.3,1.7,1.0,16
eq2j,eq2b,575,675,2.8,0.5,0.6,9
eq2j,eq2b,675,775,0.7,0.2,0.2,0
eq2j,eq2b,775,875,0.2,0.1,0.1,0
eq2j,eq2b,875,Inf,0.1,0.0,0.1,0
ge4j,eq0b,200,275,108,10,12,99
ge4j,eq0b,275,325,497,34,36,568
ge4j,eq0b,325,375,403,36,33,408
ge4j,eq0b,375,475,327,25,22,336
ge4j,eq0b,475,575,193,14,13,211
ge4j,eq0b,575,675,95,13,11,117
ge4j,eq0b,675,775,40.3,5.9,4.4,38
ge4j,eq0b,775,875,14.5,3.5,2.4,13
ge4j,eq0b,875,975,7.1,1.7,1.4,9
ge4j,eq0b,975,1075,3.2,0.7,1.0,4
ge4j,eq0b,1075-Inf,2.9,0.7,0.5,6
ge4j,eq1b,200,275,39.2,3.0,3.5,38
ge4j,eq1b,275,325,215,12,16,195
ge4j,eq1b,325,375,208,24,22,210
ge4j,eq1b,375,475,150,15,11,159
ge4j,eq1b,475,575,75.8,7.8,6.6,83
ge4j,eq1b,575,675,28.6,3.8,3.7,33
ge4j,eq1b,675,775,10.3,2.1,1.4,7
ge4j,eq1b,775,875,5.1,1.3,0.9,10
ge4j,eq1b,875,975,2.0,0.7,0.5,4
ge4j,eq1b,975,1075,0.8,0.4,0.3,1
ge4j,eq1b,1075-Inf,0.9,0.6,0.4,1
ge4j,eq2b,200,275,12.3,1.0,1.0,16
ge4j,eq2b,275,325,76.7,5.6,5.2,81
ge4j,eq2b,325,375,93,11,9,88
ge4j,eq2b,375,475,63.0,7.8,5.7,64
ge4j,eq2b,475,575,34.0,3.6,3.4,43
ge4j,eq2b,575,675,10.1,2.6,1.8,14
ge4j,eq2b,675,775,3.4,0.9,0.6,5
ge4j,eq2b,775,875,1.0,0.2,0.2,1
ge4j,eq2b,875,Inf,0.7,0.1,0.2,1
ge4j,eq3b,200,275,1.1,0.2,0.1,0
ge4j,eq3b,275,325,8.2,0.6,0.9,7
ge4j,eq3b,325,375,11.1,2.0,1.6,5
ge4j,eq3b,375,475,7.4,1.1,1.0,5
ge4j,eq3b,475,575,4.0,0.5,0.6,6
ge4j,eq3b,575,675,1.1,0.3,0.3,1
ge4j,eq3b,675,775,0.4,0.2,0.1,1
ge4j,eq3b,775,875,0.1,0.1,0.0,0
ge4j,eq3b,875,Inf,0.1,0.0,0.1,0
ge4j,ge4b,200,275,0.1,0.0,0.1,0
ge4j,ge4b,275,325,0.2,0.1,0.1,0
ge4j,ge4b,325,375,0.5,0.3,0.3,0
ge4j,ge4b,375,Inf,0.3,0.2,0.2,2
