njet,btag,htlow,hthigh,mhtlow,mhthigh,bkg,bkgErr,data
ge3a,ge2b,200,Inf,130,200,2.01e+02,2.81e+01,190
ge3a,ge2b,200,Inf,200,300,1.38e+02,2.60e+01,133
ge3a,ge2b,200,Inf,300,400,1.23e+01,2.99e+00,16
ge3a,ge2b,200,Inf,400,500,1.74e+00,5.02e-01,1
ge3a,ge2b,200,Inf,500,600,4.49e-01,1.99e-01,0
ge3a,ge2b,200,Inf,600,700,3.26e-02,2.98e-02,0
ge3a,ge2b,200,Inf,700,800,9.18e-03,1.31e-02,0
ge3a,ge2b,200,Inf,800,850,9.44e-02,5.68e-02,0
ge3a,le1b,200,Inf,130,200,2.96e+03,2.17e+02,3124
ge3a,le1b,200,Inf,200,300,3.33e+03,2.58e+02,3367
ge3a,le1b,200,Inf,300,400,4.59e+02,4.26e+01,422
ge3a,le1b,200,Inf,400,500,7.84e+01,9.54e+00,75
ge3a,le1b,200,Inf,500,600,1.54e+01,3.70e+00,14
ge3a,le1b,200,Inf,600,700,4.57e+00,1.20e+00,3
ge3a,le1b,200,Inf,700,800,3.29e+00,8.66e-01,3
ge3a,le1b,200,Inf,800,850,3.87e+00,1.26e+00,2
ge3j,ge2b,200,Inf,130,200,5.54e+01,1.28e+01,55
ge3j,ge2b,200,Inf,200,300,8.71e+01,1.74e+01,77
ge3j,ge2b,200,Inf,300,400,2.18e+01,5.42e+00,23
ge3j,ge2b,200,Inf,400,500,5.07e+00,1.22e+00,5
ge3j,ge2b,200,Inf,500,600,1.45e+00,3.94e-01,2
ge3j,ge2b,200,Inf,600,700,6.11e-01,1.72e-01,1
ge3j,ge2b,200,Inf,700,800,3.47e-01,1.64e-01,0
ge3j,ge2b,200,Inf,800,850,4.58e-01,2.76e-01,1
ge3j,le1b,200,Inf,130,200,9.25e+02,8.78e+01,955
ge3j,le1b,200,Inf,200,300,1.97e+03,1.57e+02,2027
ge3j,le1b,200,Inf,300,400,7.86e+02,6.20e+01,768
ge3j,le1b,200,Inf,400,500,2.51e+02,2.26e+01,228
ge3j,le1b,200,Inf,500,600,8.62e+01,1.05e+01,91
ge3j,le1b,200,Inf,600,700,3.47e+01,4.87e+00,34
ge3j,le1b,200,Inf,700,800,1.54e+01,1.73e+00,15
ge3j,le1b,200,Inf,800,850,1.65e+01,2.26e+00,9
ge5j,ge2b,200,Inf,130,200,2.25e+01,6.93e+00,23
ge5j,ge2b,200,Inf,200,300,3.28e+01,7.82e+00,33
ge5j,ge2b,200,Inf,300,400,1.06e+01,3.18e+00,14
ge5j,ge2b,200,Inf,400,500,2.51e+00,8.66e-01,7
ge5j,ge2b,200,Inf,500,600,9.32e-01,3.19e-01,0
ge5j,ge2b,200,Inf,600,700,4.04e-01,1.55e-01,0
ge5j,ge2b,200,Inf,700,800,3.73e-01,1.39e-01,0
ge5j,ge2b,200,Inf,800,850,1.40e-01,4.65e-02,0
ge5j,le1b,200,Inf,130,200,1.29e+02,2.25e+01,138
ge5j,le1b,200,Inf,200,300,2.59e+02,3.27e+01,252
ge5j,le1b,200,Inf,300,400,1.11e+02,1.26e+01,88
ge5j,le1b,200,Inf,400,500,3.78e+01,4.15e+00,36
ge5j,le1b,200,Inf,500,600,1.51e+01,1.80e+00,22
ge5j,le1b,200,Inf,600,700,6.92e+00,1.10e+00,6
ge5j,le1b,200,Inf,700,800,3.17e+00,5.79e-01,3
ge5j,le1b,200,Inf,800,850,3.72e+00,8.14e-01,2
le2j,eq0b,200,Inf,130,200,2.74e+03,2.68e+02,2830
le2j,eq0b,200,Inf,200,300,2.46e+04,1.60e+03,25115
le2j,eq0b,200,Inf,300,400,3.31e+03,2.42e+02,3474
le2j,eq0b,200,Inf,400,500,7.06e+02,5.29e+01,745
le2j,eq0b,200,Inf,500,600,2.08e+02,3.85e+01,182
le2j,eq0b,200,Inf,600,700,6.18e+01,1.51e+01,64
le2j,eq0b,200,Inf,700,800,2.39e+01,5.64e+00,22
le2j,eq0b,200,Inf,800,850,2.76e+01,5.77e+00,24
le2j,ge1b,200,Inf,130,200,2.78e+02,3.95e+01,320
le2j,ge1b,200,Inf,200,300,1.41e+03,1.62e+02,1406
le2j,ge1b,200,Inf,300,400,2.00e+02,2.71e+01,205
le2j,ge1b,200,Inf,400,500,4.58e+01,7.27e+00,50
le2j,ge1b,200,Inf,500,600,1.25e+01,2.89e+00,12
le2j,ge1b,200,Inf,600,700,3.48e+00,8.03e-01,0
le2j,ge1b,200,Inf,700,800,1.88e+00,5.55e-01,1
le2j,ge1b,200,Inf,800,850,1.43e+00,6.71e-01,0
