njet,btag,htlow,hthigh,mhtlow,mhthigh,bkg,bkgErr,data
eq1j,eq0b,200,250.0,130,inf,13100.0,149.0,13094
eq1j,eq0b,250,300.0,130,inf,4120.0,68.9,4130
eq1j,eq0b,300,350.0,130,inf,1480.0,38.1,1477
eq1j,eq0b,350,400.0,130,inf,654.0,27.8,663
eq1j,eq0b,400,500.0,130,inf,462.0,18.3,461
eq1j,eq0b,500,600.0,130,inf,123.0,8.99,118
eq1j,eq0b,600,inf,130,inf,52.7,7.31,50
eq1j,eq1b,200,250.0,130,inf,490.0,21.5,475
eq1j,eq1b,250,300.0,130,inf,157.0,10.9,151
eq1j,eq1b,300,350.0,130,inf,58.4,6.55,57
eq1j,eq1b,350,400.0,130,inf,24.6,3.92,25
eq1j,eq1b,400,500.0,130,inf,21.8,2.91,24
eq1j,eq1b,500,inf,130,inf,5.32,1.37,6
eq2a,eq0b,200,250.0,130,175.0,358.0,16.7,357
eq2a,eq0b,200,250.0,175,225.0,4260.0,61.3,4308
eq2a,eq0b,200,250.0,225,inf,1150.0,24.4,1123
eq2a,eq0b,250,300.0,130,225.0,56.6,5.74,60
eq2a,eq0b,250,300.0,225,275.0,1180.0,27.8,1188
eq2a,eq0b,250,300.0,275,inf,355.0,13.5,337
eq2a,eq0b,300,350.0,130,275.0,11.6,2.07,11
eq2a,eq0b,300,350.0,275,325.0,420.0,15.5,430
eq2a,eq0b,300,350.0,325,inf,148.0,7.0,143
eq2a,eq0b,350,400.0,130,325.0,3.32,1.03,2
eq2a,eq0b,350,400.0,325,375.0,158.0,9.69,174
eq2a,eq0b,350,400.0,375,inf,60.1,4.55,56
eq2a,eq0b,400,500.0,130,375.0,0.85,0.403,1
eq2a,eq0b,400,500.0,375,425.0,67.3,4.67,77
eq2a,eq0b,400,500.0,425,475.0,56.4,4.32,50
eq2a,eq0b,400,500.0,475,inf,13.7,1.53,11
eq2a,eq0b,500,600.0,130,525.0,13.8,3.06,12
eq2a,eq0b,500,600.0,525,575.0,13.1,2.63,11
eq2a,eq0b,500,600.0,575,inf,3.62,0.987,3
eq2a,eq0b,600,inf,130,600.0,0.251,0.275,0
eq2a,eq0b,600,inf,600,650.0,4.98,1.59,5
eq2a,eq0b,600,inf,650,700.0,2.71,1.04,2
eq2a,eq0b,600,inf,700,750.0,2.13,0.697,2
eq2a,eq0b,600,inf,750,800.0,1.6,0.719,1
eq2a,eq0b,600,inf,800,inf,6.61,2.06,6
eq2a,eq1b,200,250.0,130,175.0,39.7,4.21,41
eq2a,eq1b,200,250.0,175,225.0,411.0,12.7,407
eq2a,eq1b,200,250.0,225,inf,89.1,5.23,88
eq2a,eq1b,250,300.0,130,225.0,6.67,1.88,7
eq2a,eq1b,250,300.0,225,275.0,113.0,5.43,114
eq2a,eq1b,250,300.0,275,inf,32.7,3.03,31
eq2a,eq1b,300,350.0,130,275.0,0.743,0.635,0
eq2a,eq1b,300,350.0,275,325.0,37.5,3.19,41
eq2a,eq1b,300,350.0,325,inf,12.1,1.78,10
eq2a,eq1b,350,400.0,130,375.0,17.0,2.54,16
eq2a,eq1b,350,400.0,375,inf,2.69,1.75,2
eq2a,eq1b,400,500.0,130,425.0,5.69,1.82,4
eq2a,eq1b,400,500.0,425,475.0,4.66,1.45,2
eq2a,eq1b,400,500.0,475,inf,0.912,0.432,1
eq2a,eq1b,500,inf,130,500.0,0.624,0.328,2
eq2a,eq1b,500,inf,500,550.0,1.23,0.385,1
eq2a,eq1b,500,inf,550,600.0,1.31,0.483,0
eq2a,eq1b,500,inf,600,650.0,0.412,0.162,0
eq2a,eq1b,500,inf,650,700.0,0.167,0.107,0
eq2a,eq1b,500,inf,700,750.0,0.135,0.101,1
eq2a,eq1b,500,inf,750,800.0,0.114,0.104,0
eq2a,eq1b,500,inf,800,inf,0.153,0.219,0
eq2a,eq2b,200,250.0,130,175.0,2.52,0.994,3
eq2a,eq2b,200,250.0,175,225.0,22.3,2.64,25
eq2a,eq2b,200,250.0,225,inf,4.87,1.01,3
eq2a,eq2b,250,300.0,130,275.0,5.6,1.2,7
eq2a,eq2b,250,300.0,275,inf,1.9,0.803,3
eq2a,eq2b,300,350.0,130,325.0,2.69,1.24,2
eq2a,eq2b,300,350.0,325,inf,2.6,1.06,1
eq2a,eq2b,350,400.0,130,inf,1.87,0.623,1
eq2a,eq2b,400,inf,130,inf,0.605,0.298,0
eq2j,eq0b,200,250.0,130,175.0,248.0,14.8,248
eq2j,eq0b,200,250.0,175,225.0,693.0,26.4,688
eq2j,eq0b,200,250.0,225,inf,235.0,13.3,231
eq2j,eq0b,250,300.0,130,175.0,71.9,5.93,74
eq2j,eq0b,250,300.0,175,225.0,359.0,13.6,348
eq2j,eq0b,250,300.0,225,275.0,604.0,20.6,612
eq2j,eq0b,250,300.0,275,inf,135.0,7.8,121
eq2j,eq0b,300,350.0,130,175.0,57.2,4.83,59
eq2j,eq0b,300,350.0,175,225.0,158.0,8.91,147
eq2j,eq0b,300,350.0,225,275.0,194.0,8.53,209
eq2j,eq0b,300,350.0,275,325.0,293.0,12.7,283
eq2j,eq0b,300,350.0,325,inf,62.7,4.34,62
eq2j,eq0b,350,400.0,130,175.0,34.4,4.16,29
eq2j,eq0b,350,400.0,175,225.0,59.2,4.73,63
eq2j,eq0b,350,400.0,225,275.0,65.3,4.07,65
eq2j,eq0b,350,400.0,275,325.0,86.8,5.11,80
eq2j,eq0b,350,400.0,325,375.0,160.0,9.57,173
eq2j,eq0b,350,400.0,375,inf,36.6,3.35,32
eq2j,eq0b,400,500.0,130,175.0,25.9,2.96,19
eq2j,eq0b,400,500.0,175,225.0,41.5,3.36,39
eq2j,eq0b,400,500.0,225,275.0,42.8,2.92,42
