njet,btag,htlow,hthigh,mhtlow,mhthigh,bkg,bkgErr,data
eq1j,eq0b,200,250.0,130,inf,12300.0,1040.0,13094
eq1j,eq0b,250,300.0,130,inf,4170.0,424.0,4130
eq1j,eq0b,300,350.0,130,inf,1470.0,143.0,1477
eq1j,eq0b,350,400.0,130,inf,560.0,108.0,663
eq1j,eq0b,400,500.0,130,inf,463.0,75.0,461
eq1j,eq0b,500,600.0,130,inf,146.0,28.8,118
eq1j,eq0b,600,inf,130,inf,60.6,27.0,50
eq1j,eq1b,200,250.0,130,inf,505.0,67.7,475
eq1j,eq1b,250,300.0,130,inf,170.0,24.0,151
eq1j,eq1b,300,350.0,130,inf,61.3,9.43,57
eq1j,eq1b,350,400.0,130,inf,21.3,5.11,25
eq1j,eq1b,400,500.0,130,inf,21.0,4.46,24
eq1j,eq1b,500,inf,130,inf,4.75,1.19,6
eq2a,eq0b,200,250.0,130,175.0,315.0,47.1,357
eq2a,eq0b,200,250.0,175,225.0,4180.0,348.0,4308
eq2a,eq0b,200,250.0,225,inf,1190.0,105.0,1123
eq2a,eq0b,250,300.0,130,225.0,48.7,10.4,60
eq2a,eq0b,250,300.0,225,275.0,1230.0,148.0,1188
eq2a,eq0b,250,300.0,275,inf,388.0,50.1,337
eq2a,eq0b,300,350.0,130,275.0,12.1,2.66,11
eq2a,eq0b,300,350.0,275,325.0,434.0,46.3,430
eq2a,eq0b,300,350.0,325,inf,156.0,18.4,143
eq2a,eq0b,350,400.0,130,325.0,3.83,1.39,2
eq2a,eq0b,350,400.0,325,375.0,158.0,27.1,174
eq2a,eq0b,350,400.0,375,inf,62.3,11.4,56
eq2a,eq0b,400,500.0,130,375.0,0.779,0.389,1
eq2a,eq0b,400,500.0,375,425.0,68.3,11.5,77
eq2a,eq0b,400,500.0,425,475.0,60.4,10.6,50
eq2a,eq0b,400,500.0,475,inf,14.9,2.86,11
eq2a,eq0b,500,600.0,130,525.0,15.2,6.64,12
eq2a,eq0b,500,600.0,525,575.0,16.5,5.68,11
eq2a,eq0b,500,600.0,575,inf,4.66,1.86,3
eq2a,eq0b,600,inf,130,600.0,0.329,0.37,0
eq2a,eq0b,600,inf,600,650.0,4.99,2.84,5
eq2a,eq0b,600,inf,650,700.0,3.11,1.91,2
eq2a,eq0b,600,inf,700,750.0,2.21,1.65,2
eq2a,eq0b,600,inf,750,800.0,1.8,1.35,1
eq2a,eq0b,600,inf,800,inf,6.57,3.42,6
eq2a,eq1b,200,250.0,130,175.0,36.6,7.34,41
eq2a,eq1b,200,250.0,175,225.0,400.0,45.0,407
