                                    component depth                  class                                   name    pass   total
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     1 EventSelectionAllCount                                    All     186 1831852
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     2              LambdaStr     "ev : ev.GenSusyMGluino[0] == 900" 1197082 1831852
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     2              LambdaStr "ev : ev.GenSusyMNeutralino[0] == 700"   93846 1197082
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     2 EventSelectionAllCount                                    All     186   93846
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3 EventSelectionAllCount                                    All   93468   93846
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4              LambdaStr       "ev : ev.nElectronsVeto[0] == 0"   93576   93846
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4              LambdaStr           "ev : ev.nMuonsVeto[0] == 0"   93468   93576
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr       "ev : ev.nIsoTracksVeto[0] <= 0"   85149   93468
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr         "ev : ev.nPhotonsVeto[0] == 0"   84556   85149
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr            "ev : ev.nJet40Fwd[0] == 0"   73463   84556
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr               "ev : ev.nJet40[0] >= 2"   72777   73463
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr              "ev : ev.jet_pt[0] > 100"   66511   72777
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr      "ev : -2.5 < ev.jet_eta[0] < 2.5"   65600   66511
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr                "ev : ev.ht40[0] > 200"   64656   65600
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 130"   47196   64656
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr         "ev : ev.MhtOverMet[0] < 1.25"   41740   47196
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3 EventSelectionAnyCount                                    Any   28310   41740
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All     767   41740
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_200    1381   41740
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT     767    1381
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    1384   40973
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_250    2747   40973
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT    1384    2747
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    2426   39589
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_300    4085   39589
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT    2426    4085
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    2859   37163
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_350    4422   37163
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT    2859    4422
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    8212   34304
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_400   13074   34304
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT    8212   13074
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    3867   26092
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_600    7236   26092
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                                 alphaT    3867    7236
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    8795   22225
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr                              htbin_800    8795   22225
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr          "ev : ev.biasedDPhi[0] > 0.5"   17096   28310
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3 EventSelectionAnyCount                                    Any   11787   17096
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    5403   17096
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"   11468   17096
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"    5403   11468
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    1417   11693
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr              "ev : ev.nJet100[0] == 1"    5628   11693
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"    1417    5628
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    3254   10276
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    6065   10276
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"    3254    6065
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     4 EventSelectionAllCount                                    All    1713    7022
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr              "ev : ev.nJet100[0] == 1"    4211    7022
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"    1713    4211
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr                "ev : ev.ht40[0] > 800"    2237   11787
 SMS-T1qqqq_mGluino-875to925_mLSP-1to850_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 800"     186    2237
