                                    component depth                  class                                   name    pass   total
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     1 EventSelectionAllCount                                    All       3 1807268
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     2              LambdaStr     "ev : ev.GenSusyMGluino[0] == 800" 1666623 1807268
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     2              LambdaStr "ev : ev.GenSusyMNeutralino[0] == 400"  136622 1666623
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     2 EventSelectionAllCount                                    All       3  136622
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3 EventSelectionAllCount                                    All   58012  136622
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4              LambdaStr       "ev : ev.nElectronsVeto[0] == 0"   94190  136622
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4              LambdaStr           "ev : ev.nMuonsVeto[0] == 0"   58012   94190
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr       "ev : ev.nIsoTracksVeto[0] <= 0"   43508   58012
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr         "ev : ev.nPhotonsVeto[0] == 0"   43134   43508
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr            "ev : ev.nJet40Fwd[0] == 0"   37037   43134
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr               "ev : ev.nJet40[0] >= 2"   37034   37037
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr              "ev : ev.jet_pt[0] > 100"   34433   37034
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr      "ev : -2.5 < ev.jet_eta[0] < 2.5"   33949   34433
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr                "ev : ev.ht40[0] > 200"   33945   33949
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 130"   20360   33945
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr         "ev : ev.MhtOverMet[0] < 1.25"   15122   20360
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3 EventSelectionAnyCount                                    Any   11404   15122
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All       3   15122
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_200      10   15122
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT       3      10
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All      21   15119
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_250      52   15119
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT      21      52
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All      64   15098
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_300     117   15098
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT      64     117
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All     162   15034
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_350     231   15034
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT     162     231
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All    1815   14872
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_400    2932   14872
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT    1815    2932
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All    1536   13057
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_600    3977   13057
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                                 alphaT    1536    3977
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All    7803   11521
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr                              htbin_800    7803   11521
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr          "ev : ev.biasedDPhi[0] > 0.5"    1836   11404
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3 EventSelectionAnyCount                                    Any    1806    1836
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All    1160    1836
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    1228    1836
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"    1160    1228
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All     528     676
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr              "ev : ev.nJet100[0] == 1"     608     676
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"     528     608
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All      59     148
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"      68     148
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"      59      68
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     4 EventSelectionAllCount                                    All      59      89
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr              "ev : ev.nJet100[0] == 1"      80      89
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"      59      80
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr                "ev : ev.ht40[0] > 800"     460    1806
 SMS-T1tttt_mGluino-800to825_mLSP-1to575_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 800"       3     460
