                                  component depth                  class                                   name    pass    total
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     1 EventSelectionAllCount                                    All     179 12592279
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     2              LambdaStr       "ev : ev.GenSusyMStop[0] == 325" 4226322 12592279
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     2              LambdaStr "ev : ev.GenSusyMNeutralino[0] == 305"  450162  4226322
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     2 EventSelectionAllCount                                    All     179   450162
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3 EventSelectionAllCount                                    All  449135   450162
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4              LambdaStr       "ev : ev.nElectronsVeto[0] == 0"  449668   450162
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4              LambdaStr           "ev : ev.nMuonsVeto[0] == 0"  449135   449668
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr       "ev : ev.nIsoTracksVeto[0] <= 0"  435467   449135
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr         "ev : ev.nPhotonsVeto[0] == 0"  434628   435467
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr            "ev : ev.nJet40Fwd[0] == 0"  375631   434628
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr               "ev : ev.nJet40[0] >= 2"  117981   375631
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr              "ev : ev.jet_pt[0] > 100"   73941   117981
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr      "ev : -2.5 < ev.jet_eta[0] < 2.5"   68486    73941
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr                "ev : ev.ht40[0] > 200"   59060    68486
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 130"   48504    59060
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr         "ev : ev.MhtOverMet[0] < 1.25"   41430    48504
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3 EventSelectionAnyCount                                    Any   21766    41430
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2715    41430
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_200    5482    41430
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    2715     5482
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2635    38715
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_250    6096    38715
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    2635     6096
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2626    36080
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_300    5427    36080
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    2626     5427
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2409    33454
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_350    4752    33454
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    2409     4752
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    5830    31045
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_400   11512    31045
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    5830    11512
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2183    25215
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_600    4793    25215
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                                 alphaT    2183     4793
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    3368    23032
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr                              htbin_800    3368    23032
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr          "ev : ev.biasedDPhi[0] > 0.5"   16626    21766
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3 EventSelectionAnyCount                                    Any    8447    16626
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    1246    16626
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    8447    16626
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"    1246     8447
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    1964    15380
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    7201    15380
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"    1964     7201
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2732    13416
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    5237    13416
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 3"    2732     5237
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     4 EventSelectionAllCount                                    All    2505    10684
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    2505    10684
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 2"    2505     2505
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr                "ev : ev.ht40[0] > 800"     980     8447
 SMS-T2cc_mStop-325to365_mLSP-245to365_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 800"     179      980
