                             component depth                  class                                   name    pass   total
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     1 EventSelectionAllCount                                    All    1566 2935640
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     2              LambdaStr     "ev : ev.GenSusyMSquark[0] == 400" 2795870 2935640
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     2              LambdaStr "ev : ev.GenSusyMNeutralino[0] == 250"   26535 2795870
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     2 EventSelectionAllCount                                    All    1566   26535
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr               "ev : ev.nJet40[0] >= 2"   24603   26535
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr              "ev : ev.jet_pt[0] > 100"   21725   24603
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr      "ev : -2.5 < ev.jet_eta[0] < 2.5"   21258   21725
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr   "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   20727   21258
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr            "ev : ev.mht40_pt[0] > 130"   13638   20727
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr          "ev : ev.biasedDPhi[0] > 0.5"    9923   13638
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3 EventSelectionAnyCount                                    Any    4981    9923
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     979    9923
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_200    1667    9923
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT     979    1667
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     855    8944
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_250    1735    8944
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT     855    1735
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     705    8089
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_300    1453    8089
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT     705    1453
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     622    7384
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_350    1178    7384
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT     622    1178
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All    1222    6762
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_400    2222    6762
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT    1222    2222
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     307    5540
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_600     640    5540
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                                 alphaT     307     640
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     291    5233
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr                              htbin_800     291    5233
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr         "ev : ev.MhtOverMet[0] < 1.25"    4063    4981
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr            "ev : ev.nJet40Fwd[0] == 0"    3569    4063
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr         "ev : ev.nPhotonsVeto[0] == 0"    3554    3569
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3 EventSelectionAllCount                                    All    3549    3554
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4              LambdaStr       "ev : ev.nElectronsVeto[0] == 0"    3551    3554
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4              LambdaStr           "ev : ev.nMuonsVeto[0] == 0"    3549    3551
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3              LambdaStr       "ev : ev.nIsoTracksVeto[0] <= 0"    3392    3549
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     3 EventSelectionAnyCount                                    Any    1566    3392
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     372    3392
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    1956    3392
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"     372    1956
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     483    3020
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr              "ev : ev.nJet100[0] >= 2"    1584    3020
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr               "ev : ev.nJet40[0] == 4"     483    1584
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All      89    2537
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr              "ev : ev.nJet100[0] == 1"    1436    2537
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     5              LambdaStr               "ev : ev.nJet40[0] >= 5"      89    1436
 SMS-T2qq_mSq300to400_mLSP-0to350_25ns     4 EventSelectionAllCount                                    All     622    2448
