njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq1j,eq0b,200.0,400.0,200,inf,291373.75,2549.172477,291353.0
eq1j,eq0b,400.0,600.0,400,inf,8545.207031,120.930957,8572.0
eq1j,eq0b,600.0,900.0,600,inf,879.392944,29.362701,878.0
eq1j,eq0b,900.0,inf,900,inf,59.618729,7.460474,57.0
eq1j,eq1b,200.0,400.0,200,inf,11053.655273,135.729934,11072.0
eq1j,eq1b,400.0,600.0,400,inf,412.936798,19.673308,406.0
eq1j,eq1b,600.0,inf,600,inf,71.563499,7.73957,71.0
eq2j,eq0b,200.0,400.0,200,inf,34890.003906,348.483802,34934.0
eq2j,eq0b,400.0,600.0,200,400.0,3447.791992,181.500179,3468.0
eq2j,eq0b,400.0,600.0,400,inf,2526.32666,136.852361,2568.0
eq2j,eq0b,600.0,900.0,200,400.0,239.515778,10.412622,226.0
eq2j,eq0b,600.0,900.0,400,600.0,270.203369,8.680459,253.0
eq2j,eq0b,600.0,900.0,600,inf,314.171204,13.387752,303.0
eq2j,eq0b,900.0,1200.0,200,400.0,164.263184,9.496204,165.0
eq2j,eq0b,900.0,1200.0,400,600.0,129.147583,6.946331,125.0
eq2j,eq0b,900.0,1200.0,600,900.0,83.635475,5.695903,97.0
eq2j,eq0b,900.0,1200.0,900,inf,32.856781,3.219695,25.0
eq2j,eq0b,1200.0,inf,200,400.0,7.314653,1.10765,9.0
eq2j,eq0b,1200.0,inf,400,600.0,23.713047,2.48932,26.0
eq2j,eq0b,1200.0,inf,600,900.0,22.022762,2.395678,22.0
eq2j,eq0b,1200.0,inf,900,inf,18.744289,2.495099,19.0
eq2j,eq1b,200.0,400.0,200,inf,3896.079834,60.965249,3850.0
eq2j,eq1b,400.0,600.0,200,400.0,322.768524,21.168335,327.0
eq2j,eq1b,400.0,600.0,400,inf,269.75061,14.791077,240.0
eq2j,eq1b,600.0,900.0,200,400.0,28.053242,2.118,22.0
eq2j,eq1b,600.0,900.0,400,600.0,30.832474,2.421699,39.0
eq2j,eq1b,600.0,900.0,600,inf,36.029781,3.227538,31.0
eq2j,eq1b,900.0,1200.0,200,400.0,21.021492,2.505554,17.0
eq2j,eq1b,900.0,1200.0,400,600.0,17.844624,2.10249,15.0
eq2j,eq1b,900.0,1200.0,600,900.0,10.153101,1.397658,12.0
eq2j,eq1b,900.0,1200.0,900,inf,4.628428,0.751344,6.0
eq2j,eq1b,1200.0,inf,200,400.0,1.033501,0.247142,1.0
eq2j,eq1b,1200.0,inf,400,600.0,3.641932,0.854889,6.0
eq2j,eq1b,1200.0,inf,600,900.0,2.505942,0.653525,1.0
eq2j,eq1b,1200.0,inf,900,inf,2.691891,0.808284,4.0
eq2j,eq2b,200.0,400.0,200,inf,250.670334,9.36537,254.0
eq2j,eq2b,400.0,600.0,200,400.0,14.93456,1.183658,22.0
eq2j,eq2b,400.0,600.0,400,inf,18.582409,1.204503,18.0
eq2j,eq2b,600.0,inf,200,400.0,1.647986,0.205054,1.0
eq2j,eq2b,600.0,inf,400,600.0,2.11258,0.232643,2.0
eq2j,eq2b,600.0,inf,600,inf,2.93085,0.34381,2.0
eq3j,eq0b,200.0,400.0,200,inf,11889.8125,132.506731,11815.0
eq3j,eq0b,400.0,600.0,200,400.0,7101.994141,107.091351,7120.0
eq3j,eq0b,400.0,600.0,400,inf,1477.12915,36.508636,1463.0
eq3j,eq0b,600.0,900.0,200,400.0,649.905334,19.735454,668.0
eq3j,eq0b,600.0,900.0,400,600.0,575.725281,17.110352,593.0
eq3j,eq0b,600.0,900.0,600,inf,237.314117,10.456517,246.0
eq3j,eq0b,900.0,1200.0,200,400.0,241.588989,12.647044,245.0
eq3j,eq0b,900.0,1200.0,400,600.0,160.514069,8.352834,164.0
eq3j,eq0b,900.0,1200.0,600,900.0,99.072144,6.452665,101.0
eq3j,eq0b,900.0,1200.0,900,inf,23.949001,2.220135,19.0
eq3j,eq0b,1200.0,inf,200,400.0,15.35677,1.929172,21.0
eq3j,eq0b,1200.0,inf,400,600.0,39.061604,3.244861,28.0
eq3j,eq0b,1200.0,inf,600,900.0,27.820597,2.469716,31.0
eq3j,eq0b,1200.0,inf,900,inf,18.333952,2.142878,17.0
eq3j,eq1b,200.0,400.0,200,inf,2692.618896,54.224245,2703.0
eq3j,eq1b,400.0,600.0,200,400.0,1269.762329,30.273374,1212.0
eq3j,eq1b,400.0,600.0,400,inf,268.839935,9.834551,301.0
eq3j,eq1b,600.0,900.0,200,400.0,104.550407,5.848853,110.0
eq3j,eq1b,600.0,900.0,400,600.0,90.75779,5.083318,96.0
eq3j,eq1b,600.0,900.0,600,inf,38.784607,2.919482,42.0
eq3j,eq1b,900.0,1200.0,200,400.0,41.191334,3.654816,39.0
eq3j,eq1b,900.0,1200.0,400,600.0,24.309742,2.223578,24.0
eq3j,eq1b,900.0,1200.0,600,900.0,15.626075,1.808588,10.0
eq3j,eq1b,900.0,1200.0,900,inf,5.255141,1.197219,6.0
eq3j,eq1b,1200.0,inf,200,400.0,2.724579,0.508398,3.0
eq3j,eq1b,1200.0,inf,400,600.0,6.466839,1.156258,5.0
eq3j,eq1b,1200.0,inf,600,900.0,4.632146,0.920091,7.0
eq3j,eq1b,1200.0,inf,900,inf,3.327746,0.772432,4.0
eq3j,eq2b,200.0,400.0,200,inf,479.463684,14.607804,495.0
eq3j,eq2b,400.0,600.0,200,400.0,220.49649,7.63688,229.0
eq3j,eq2b,400.0,600.0,400,inf,31.919233,1.39648,34.0
eq3j,eq2b,600.0,900.0,200,400.0,9.754052,0.637082,10.0
eq3j,eq2b,600.0,900.0,400,600.0,10.413676,0.650257,9.0
eq3j,eq2b,600.0,900.0,600,inf,3.7818,0.288752,2.0
eq3j,eq2b,900.0,1200.0,200,400.0,3.693455,0.439929,4.0
eq3j,eq2b,900.0,1200.0,400,600.0,1.893716,0.213704,2.0
eq3j,eq2b,900.0,1200.0,600,900.0,1.348681,0.173204,2.0
eq3j,eq2b,900.0,1200.0,900,inf,0.46202,0.107721,0.0
eq3j,eq2b,1200.0,inf,200,400.0,0.262343,0.052498,1.0
eq3j,eq2b,1200.0,inf,400,600.0,0.671035,0.120384,0.0
eq3j,eq2b,1200.0,inf,600,900.0,0.455334,0.089675,0.0
eq3j,eq2b,1200.0,inf,900,inf,0.318944,0.069397,0.0
eq3j,eq3b,200.0,400.0,200,inf,14.905715,2.114618,16.0
eq3j,eq3b,400.0,600.0,200,400.0,6.679358,1.109485,10.0
eq3j,eq3b,400.0,600.0,400,inf,0.839153,0.07715,2.0
eq3j,eq3b,600.0,inf,200,400.0,0.363733,0.053271,3.0
