njet,bjet,ht_low,ht_high,mht_low,mht_high,T1bbbb,T1qqqqLL,T2bb,T2cc
ge1j2a,eq0b,200.0,inf,200,400.0,0.0,0.0,53.019017000000005,1539.9260000000002
ge1j2a,eq0b,200.0,inf,400,600.0,0.0,0.0,5.330617,262.8302
ge1j2a,eq0b,200.0,inf,600,900.0,0.0,0.0,1.414377,66.33299
ge1j2a,eq0b,200.0,inf,900,inf,0.0,0.0,0.23194299999999998,16.50214
ge1j2a,ge1b,200.0,inf,200,400.0,0.0,0.0,109.03680200000001,83.93075999999999
ge1j2a,ge1b,200.0,inf,400,600.0,0.0,0.0,5.4797400000000005,11.733369999999999
ge1j2a,ge1b,200.0,inf,600,900.0,0.0,0.0,1.154009,3.7238900000000004
ge1j2a,ge1b,200.0,inf,900,inf,0.0061673119999999994,0.0,0.684489,1.161994
eq23j,eq01b,200.0,inf,200,400.0,0.0,0.0,44.671186999999996,306.1854
eq23j,eq01b,200.0,inf,400,600.0,0.01362643,0.0,8.226961,148.6021
eq23j,eq01b,200.0,inf,600,900.0,0.04781774,0.24013179999999998,2.663611,58.39505
eq23j,eq01b,200.0,inf,900,inf,0.09660265,0.445068,0.41607200000000005,10.28905
eq23j,ge2b,200.0,inf,200,400.0,0.0027435240000000002,0.0,16.562366,2.129175
eq23j,ge2b,200.0,inf,400,600.0,0.01075653,0.0,1.552249,0.9046525
eq23j,ge2b,200.0,inf,600,900.0,0.03774159,0.0,0.812419,0.1896382
eq23j,ge2b,200.0,inf,900,inf,0.1749001,0.5957844,0.047492,0.0
eq45j,eq01b,400.0,inf,200,400.0,0.005652394,0.0,36.711905,98.59748
eq45j,eq01b,400.0,inf,400,600.0,0.1698853,0.20095860000000001,16.31589,76.89010999999999
eq45j,eq01b,400.0,inf,600,900.0,0.48319399999999996,0.937959,4.977861,36.2008
eq45j,eq01b,400.0,inf,900,inf,0.8468109,1.462656,0.752479,8.524271
eq45j,ge2b,400.0,inf,200,400.0,0.05056311,0.0,22.496593,2.834899
eq45j,ge2b,400.0,inf,400,600.0,0.30797909999999995,1.2323899999999999,7.522963000000001,2.358756
eq45j,ge2b,400.0,inf,600,900.0,0.8675693999999999,4.45212,2.4598150000000003,0.5768008000000001
eq45j,ge2b,400.0,inf,900,inf,1.504421,4.057727,0.24606399999999998,0.17836110000000002
ge6j,eq01b,400.0,inf,200,400.0,0.01166887,0.0,8.376439,11.50737
ge6j,eq01b,400.0,inf,400,600.0,0.1563895,0.0,3.8136300000000003,10.71691
ge6j,eq01b,400.0,inf,600,900.0,0.41301689999999996,0.0,1.7054580000000001,7.071232000000001
ge6j,eq01b,400.0,inf,900,inf,0.5830981,0.1219085,0.137201,1.399705
ge6j,ge2b,400.0,inf,200,400.0,0.007463648000000001,0.0,4.471686,0.2172854
ge6j,ge2b,400.0,inf,400,600.0,0.27855359999999996,0.0,2.646859,0.42780779999999996
ge6j,ge2b,400.0,inf,600,900.0,0.8461361999999999,1.629365,1.1309930000000001,0.7672536
ge6j,ge2b,400.0,inf,900,inf,1.24096,2.792504,0.17183900000000002,0.1690825
