njet,bjet,ht_low,ht_high,mht_low,mht_high,T1bbbb,T1bbbb,T1qqqqLL,T1qqqqLL,T2bb,T2bb,T2cc,T2cc
,,,,,,sig,sig_err,sig,sig_err,sig,sig_err,sig,sig_err
ge1j2a,eq0b,200.0,inf,200,400.0,0.0,0.0,0.0,0.0,53.019017000000005,1.910694,1539.9260000000002,19.84403
ge1j2a,eq0b,200.0,inf,400,600.0,0.0,0.0,0.0,0.0,5.330617,0.589705,262.8302,8.280635
ge1j2a,eq0b,200.0,inf,600,900.0,0.0,0.0,0.0,0.0,1.414377,0.297981,66.33299,4.150774
ge1j2a,eq0b,200.0,inf,900,inf,0.0,0.0,0.0,0.0,0.23194299999999998,0.11634800000000001,16.50214,2.045919
ge1j2a,ge1b,200.0,inf,200,400.0,0.0,0.0,0.0,0.0,109.03680200000001,2.181342,83.93075999999999,4.572856
ge1j2a,ge1b,200.0,inf,400,600.0,0.0,0.0,0.0,0.0,5.4797400000000005,0.485814,11.733369999999999,1.7611560000000002
ge1j2a,ge1b,200.0,inf,600,900.0,0.0,0.0,0.0,0.0,1.154009,0.218777,3.7238900000000004,0.8707482
ge1j2a,ge1b,200.0,inf,900,inf,0.0061673119999999994,0.0043809470000000005,0.0,0.0,0.684489,0.24910500000000002,1.161994,0.5095932
eq23j,eq01b,200.0,inf,200,400.0,0.0,0.0,0.0,0.0,44.671186999999996,1.347913,306.1854,7.310457
eq23j,eq01b,200.0,inf,400,600.0,0.01362643,0.006180886,0.0,0.0,8.226961,0.56362,148.6021,5.062256
eq23j,eq01b,200.0,inf,600,900.0,0.04781774,0.01270181,0.24013179999999998,0.08602055,2.663611,0.31631,58.39505,3.2080130000000002
eq23j,eq01b,200.0,inf,900,inf,0.09660265,0.01666687,0.445068,0.1196004,0.41607200000000005,0.129743,10.28905,1.309782
eq23j,ge2b,200.0,inf,200,400.0,0.0027435240000000002,0.0027435240000000002,0.0,0.0,16.562366,0.8948200000000001,2.129175,0.6246991
eq23j,ge2b,200.0,inf,400,600.0,0.01075653,0.0062163109999999995,0.0,0.0,1.552249,0.292352,0.9046525,0.4108685
eq23j,ge2b,200.0,inf,600,900.0,0.03774159,0.01161797,0.0,0.0,0.812419,0.193933,0.1896382,0.1896382
eq23j,ge2b,200.0,inf,900,inf,0.1749001,0.02452526,0.5957844,0.1978328,0.047492,0.047492,0.0,0.0
eq45j,eq01b,400.0,inf,200,400.0,0.005652394,0.004001984,0.0,0.0,36.711905,1.319865,98.59748,4.223761
eq45j,eq01b,400.0,inf,400,600.0,0.1698853,0.0288895,0.20095860000000001,0.06995326,16.31589,0.8591540000000001,76.89010999999999,3.66995
eq45j,eq01b,400.0,inf,600,900.0,0.48319399999999996,0.04920353,0.937959,0.15815520000000002,4.977861,0.473021,36.2008,2.554018
eq45j,eq01b,400.0,inf,900,inf,0.8468109,0.06389776,1.462656,0.219421,0.752479,0.18804,8.524271,1.2102709999999999
eq45j,ge2b,400.0,inf,200,400.0,0.05056311,0.01361459,0.0,0.0,22.496593,0.9670690000000001,2.834899,0.7093893
eq45j,ge2b,400.0,inf,400,600.0,0.30797909999999995,0.03314339,1.2323899999999999,0.25483890000000003,7.522963000000001,0.567249,2.358756,0.6140928000000001
eq45j,ge2b,400.0,inf,600,900.0,0.8675693999999999,0.05637016,4.45212,0.5974363,2.4598150000000003,0.31344,0.5768008000000001,0.2888883
eq45j,ge2b,400.0,inf,900,inf,1.504421,0.07436135,4.057727,0.4112326,0.24606399999999998,0.093446,0.17836110000000002,0.17836110000000002
ge6j,eq01b,400.0,inf,200,400.0,0.01166887,0.008251492,0.0,0.0,8.376439,0.643429,11.50737,1.498773
ge6j,eq01b,400.0,inf,400,600.0,0.1563895,0.03191013,0.0,0.0,3.8136300000000003,0.433634,10.71691,1.397644
ge6j,eq01b,400.0,inf,600,900.0,0.41301689999999996,0.05235275,0.0,0.0,1.7054580000000001,0.287423,7.071232000000001,1.124011
ge6j,eq01b,400.0,inf,900,inf,0.5830981,0.06125152,0.1219085,0.05187383,0.137201,0.08155,1.399705,0.49750500000000003
ge6j,ge2b,400.0,inf,200,400.0,0.007463648000000001,0.005288711999999999,0.0,0.0,4.471686,0.439382,0.2172854,0.1537574
ge6j,ge2b,400.0,inf,400,600.0,0.27855359999999996,0.03482244,0.0,0.0,2.646859,0.338402,0.42780779999999996,0.2470662
ge6j,ge2b,400.0,inf,600,900.0,0.8461361999999999,0.06215099,1.629365,0.27334109999999995,1.1309930000000001,0.214403,0.7672536,0.3444874
ge6j,ge2b,400.0,inf,900,inf,1.24096,0.07321943,2.792504,0.4766897,0.17183900000000002,0.08684700000000001,0.1690825,0.1690825
