     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high            bkg       bkg_err         bkgTtw    bkgTtw_err        bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq1j  eq0b   200.0   400.000000        0      200         inf  254856.062500  26604.055607  106468.924072  13735.723764  148286.030762  14166.241049  1.011181e+02  8.709173e+01  291353.0   539.771248     539.771248
1    eq1j  eq0b   400.0   600.000000        0      400         inf    7342.193848    966.182095    2046.065643    339.068951    5295.739380    619.457057  3.891000e-01  4.127270e-01    8572.0    92.585096      92.585096
2    eq1j  eq0b   600.0   900.000000        0      600         inf     680.055298    121.049535     135.832497     32.228010     544.187103     84.187240  3.570000e-02  3.067750e-02     878.0    29.631065      29.631065
3    eq1j  eq0b   900.0          inf        0      900         inf      56.934498     14.637200       7.388700      2.751705      49.545799     12.110958  1.000000e-12  9.217173e-13      57.0     7.549834       7.549834
4    eq1j  eq1b   200.0   400.000000        0      200         inf    8864.285156    956.368883    2980.197578    387.010208    5880.569885    590.853432  3.517200e+00  2.992249e+00   11072.0   105.223572     105.223572
5    eq1j  eq1b   400.0   600.000000        0      400         inf     334.577576     45.115704      87.164502     13.972971     247.395290     30.409716  1.780000e-02  1.880146e-02     406.0    20.149442      20.149442
6    eq1j  eq1b   600.0          inf        0      600         inf      41.520100      7.551247       7.202900      1.654282      34.314999      6.178184  2.200000e-03  1.910915e-03      71.0     8.426150       8.426150
7    eq2j  eq0b   200.0   400.000000        0      200         inf   29224.531250   7829.808887   12906.873413   3108.589385   16221.455566   3421.732585  9.620200e+01  8.130320e+01   34934.0   186.906394     186.906394
8    eq2j  eq0b   400.0   600.000000        0      200  400.000000    3274.273438    910.445913    1226.384644    347.554228    1968.364197    532.653750  7.952469e+01  7.474600e+01    3468.0    58.889727      58.889727
9    eq2j  eq0b   400.0   600.000000        1      400         inf    2176.893066    623.577549     644.049347    200.869073    1479.979492    420.258814  5.286411e+01  4.491927e+01    2568.0    50.675438      50.675438
10   eq2j  eq0b   600.0   900.000000        0      200  400.000000     276.672485     91.911319     102.961299     34.779250     166.991512     63.025432  6.719683e+00  5.878145e+00     226.0    15.033296      15.033296
11   eq2j  eq0b   600.0   900.000000        1      400  600.000000     268.382141     75.608887      76.048946     23.771892     185.813478     48.997735  6.519713e+00  5.673786e+00     253.0    15.905974      15.905974
12   eq2j  eq0b   600.0   900.000000        2      600         inf     284.567871     92.978472      57.184454     20.525938     220.472107     69.160993  6.911304e+00  5.634555e+00     303.0    17.406895      17.406895
13   eq2j  eq0b   900.0  1200.000000        0      200  400.000000     179.342911     54.562745      67.133066     21.665253     112.209850     35.672458  8.130696e-07  6.728894e-07     165.0    12.845233      12.845233
14   eq2j  eq0b   900.0  1200.000000        1      400  600.000000     130.910461     33.582285      37.062791     10.980456      93.847662     21.353700  5.936437e-07  4.839245e-07     125.0    11.180340      11.180340
15   eq2j  eq0b   900.0  1200.000000        2      600  900.000000      78.662025     25.244872      17.927604      6.324146      60.734421     18.974059  3.565847e-07  2.897942e-07      97.0     9.848858       9.848858
16   eq2j  eq0b   900.0  1200.000000        3      900         inf      29.319504     13.698029       4.602739      2.214824      24.716763     11.502374  1.999686e-12  1.566933e-12      25.0     5.804900       4.666400
17   eq2j  eq0b  1200.0          inf        0      200  400.000000      11.844943      5.111627       3.872048      1.690453       7.972895      4.184858  1.398893e-07  1.670902e-07       9.0     3.790500       2.665800
18   eq2j  eq0b  1200.0          inf        1      400  600.000000      33.415726     10.695409       8.626811      3.035552      24.788914      8.021859  3.946473e-07  4.713850e-07      26.0     5.811000       5.200900
19   eq2j  eq0b  1200.0          inf        2      600  900.000000      28.036396      9.296324       5.915892      2.188660      22.120504      7.312870  3.311000e-07  3.954812e-07      22.0     5.315000       4.695700
20   eq2j  eq0b  1200.0          inf        3      900         inf      20.860136      9.391788       3.460649      1.706914      17.399487      8.223884  2.463634e-07  2.942678e-07      19.0     4.824700       4.180600
21   eq2j  eq1b   200.0   400.000000        0      200         inf    3006.599365    786.692952    1693.313309    381.858752    1303.375885    278.987004  9.910000e+00  8.480834e+00    3850.0    62.048368      62.048368
22   eq2j  eq1b   400.0   600.000000        0      200  400.000000     277.423340     79.193829      95.330492     29.147249     175.354031     47.695768  6.738821e+00  6.250563e+00     327.0    18.083141      18.083141
23   eq2j  eq1b   400.0   600.000000        1      400         inf     219.277649     59.268963      80.366211     20.874660     133.569763     37.692912  5.341679e+00  4.634179e+00     240.0    15.491933      15.491933
24   eq2j  eq1b   600.0   900.000000        0      200  400.000000      26.894402      8.943858       9.276897      3.099554      16.964086      6.248883  6.534185e-01  5.583192e-01      22.0     5.315000       4.695700
25   eq2j  eq1b   600.0   900.000000        1      400  600.000000      25.533554      7.259647       7.356727      2.400611      17.559232      4.598520  6.175954e-01  5.385621e-01      39.0     6.244998       6.244998
26   eq2j  eq1b   600.0   900.000000        2      600         inf      27.132145      8.638765       6.968476      2.172890      19.504182      6.237866  6.594861e-01  5.374711e-01      31.0     5.567764       5.567764
27   eq2j  eq1b   900.0  1200.000000        0      200  400.000000      19.311907      5.803202       6.770900      2.138007      12.541007      3.860157  2.000000e-12  1.565118e-12      17.0     4.808400       4.209500
28   eq2j  eq1b   900.0  1200.000000        1      400  600.000000      14.912960      3.907343       5.188745      1.517629       9.724215      2.276755  2.000000e-12  1.566586e-12      15.0     4.324900       3.681300
29   eq2j  eq1b   900.0  1200.000000        2      600  900.000000       7.421590      2.425685       1.260451      0.449506       6.161139      1.933977  2.000000e-12  1.565882e-12      12.0     4.292000       3.170900
30   eq2j  eq1b   900.0  1200.000000        3      900         inf       3.167643      1.473223       0.541803      0.259668       2.625839      1.238204  2.000000e-12  1.565186e-12       6.0     3.278300       2.176900
31   eq2j  eq1b  1200.0          inf        0      200  400.000000       1.129397      0.490365       0.400242      0.181224       0.729155      0.382447  1.000000e-12  1.192802e-12       1.0     1.750500       0.632100
32   eq2j  eq1b  1200.0          inf        1      400  600.000000       3.401823      1.082140       1.098452      0.372996       2.303371      0.749661  1.000000e-12  1.195112e-12       6.0     3.278300       2.176900
33   eq2j  eq1b  1200.0          inf        2      600  900.000000       2.095644      0.695682       0.484262      0.183844       1.611382      0.528506  1.000000e-12  1.195392e-12       1.0     1.750500       0.632100
34   eq2j  eq1b  1200.0          inf        3      900         inf       1.961936      0.888972       0.318444      0.165803       1.643493      0.777817  1.000000e-12  1.194492e-12       4.0     2.776400       1.664100
35   eq2j  eq2b   200.0   400.000000        0      200         inf     196.081604     51.709302      87.529998     20.074657     107.912103     23.909935  6.395000e-01  5.500599e-01     254.0    15.937377      15.937377
36   eq2j  eq2b   400.0   600.000000        0      200  400.000000      13.206952      3.867310       3.019344      0.983672       9.867221      2.821084  3.203874e-01  3.021325e-01      22.0     5.315000       4.695700
