njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq1j,eq0b,200.0,400.0,200,inf,254856.0625,26604.055607,291353.0
eq1j,eq0b,400.0,600.0,400,inf,7342.193848,966.182095,8572.0
eq1j,eq0b,600.0,900.0,600,inf,680.055298,121.049535,878.0
eq1j,eq0b,900.0,inf,900,inf,56.934498,14.6372,57.0
eq1j,eq1b,200.0,400.0,200,inf,8864.285156,956.368883,11072.0
eq1j,eq1b,400.0,600.0,400,inf,334.577576,45.115704,406.0
eq1j,eq1b,600.0,inf,600,inf,41.5201,7.551247,71.0
eq2j,eq0b,200.0,400.0,200,inf,29224.53125,7829.808887,34934.0
eq2j,eq0b,400.0,600.0,200,400.0,3274.273438,910.445913,3468.0
eq2j,eq0b,400.0,600.0,400,inf,2176.893066,623.577549,2568.0
eq2j,eq0b,600.0,900.0,200,400.0,276.672485,91.911319,226.0
eq2j,eq0b,600.0,900.0,400,600.0,268.382141,75.608887,253.0
eq2j,eq0b,600.0,900.0,600,inf,284.567871,92.978472,303.0
eq2j,eq0b,900.0,1200.0,200,400.0,179.342911,54.562745,165.0
eq2j,eq0b,900.0,1200.0,400,600.0,130.910461,33.582285,125.0
eq2j,eq0b,900.0,1200.0,600,900.0,78.662025,25.244872,97.0
eq2j,eq0b,900.0,1200.0,900,inf,29.319504,13.698029,25.0
eq2j,eq0b,1200.0,inf,200,400.0,11.844943,5.111627,9.0
eq2j,eq0b,1200.0,inf,400,600.0,33.415726,10.695409,26.0
eq2j,eq0b,1200.0,inf,600,900.0,28.036396,9.296324,22.0
eq2j,eq0b,1200.0,inf,900,inf,20.860136,9.391788,19.0
eq2j,eq1b,200.0,400.0,200,inf,3006.599365,786.692952,3850.0
eq2j,eq1b,400.0,600.0,200,400.0,277.42334,79.193829,327.0
eq2j,eq1b,400.0,600.0,400,inf,219.277649,59.268963,240.0
eq2j,eq1b,600.0,900.0,200,400.0,26.894402,8.943858,22.0
eq2j,eq1b,600.0,900.0,400,600.0,25.533554,7.259647,39.0
eq2j,eq1b,600.0,900.0,600,inf,27.132145,8.638765,31.0
eq2j,eq1b,900.0,1200.0,200,400.0,19.311907,5.803202,17.0
eq2j,eq1b,900.0,1200.0,400,600.0,14.91296,3.907343,15.0
eq2j,eq1b,900.0,1200.0,600,900.0,7.42159,2.425685,12.0
eq2j,eq1b,900.0,1200.0,900,inf,3.167643,1.473223,6.0
eq2j,eq1b,1200.0,inf,200,400.0,1.129397,0.490365,1.0
eq2j,eq1b,1200.0,inf,400,600.0,3.401823,1.08214,6.0
eq2j,eq1b,1200.0,inf,600,900.0,2.095644,0.695682,1.0
eq2j,eq1b,1200.0,inf,900,inf,1.961936,0.888972,4.0
eq2j,eq2b,200.0,400.0,200,inf,196.081604,51.709302,254.0
eq2j,eq2b,400.0,600.0,200,400.0,13.206952,3.86731,22.0
eq2j,eq2b,400.0,600.0,400,inf,15.174548,4.03387,18.0
eq2j,eq2b,600.0,inf,200,400.0,1.806197,0.651675,1.0
eq2j,eq2b,600.0,inf,400,600.0,1.887816,0.533694,2.0
eq2j,eq2b,600.0,inf,600,inf,2.329787,0.755427,2.0
eq3j,eq0b,200.0,400.0,200,inf,10504.310547,2034.493903,11815.0
eq3j,eq0b,400.0,600.0,200,400.0,6666.887207,1296.91955,7120.0
eq3j,eq0b,400.0,600.0,400,inf,1391.039062,320.302435,1463.0
eq3j,eq0b,600.0,900.0,200,400.0,698.526306,152.421627,668.0
eq3j,eq0b,600.0,900.0,400,600.0,581.963928,122.526375,593.0
eq3j,eq0b,600.0,900.0,600,inf,231.412369,59.412662,246.0
eq3j,eq0b,900.0,1200.0,200,400.0,275.29248,56.229255,245.0
eq3j,eq0b,900.0,1200.0,400,600.0,182.343445,34.666686,164.0
eq3j,eq0b,900.0,1200.0,600,900.0,109.839798,26.828361,101.0
eq3j,eq0b,900.0,1200.0,900,inf,28.202389,9.530071,19.0
eq3j,eq0b,1200.0,inf,200,400.0,22.514194,6.578293,21.0
eq3j,eq0b,1200.0,inf,400,600.0,54.175392,13.490714,28.0
eq3j,eq0b,1200.0,inf,600,900.0,36.125881,9.968347,31.0
eq3j,eq0b,1200.0,inf,900,inf,21.964535,8.173042,17.0
eq3j,eq1b,200.0,400.0,200,inf,2242.583496,431.873361,2703.0
eq3j,eq1b,400.0,600.0,200,400.0,1125.797363,211.576511,1212.0
eq3j,eq1b,400.0,600.0,400,inf,222.356766,46.262324,301.0
eq3j,eq1b,600.0,900.0,200,400.0,94.625496,20.058625,110.0
eq3j,eq1b,600.0,900.0,400,600.0,77.949806,15.707211,96.0
eq3j,eq1b,600.0,900.0,600,inf,32.74229,8.042269,42.0
eq3j,eq1b,900.0,1200.0,200,400.0,41.185764,8.311875,39.0
eq3j,eq1b,900.0,1200.0,400,600.0,23.883574,4.466172,24.0
eq3j,eq1b,900.0,1200.0,600,900.0,15.442705,3.740234,10.0
eq3j,eq1b,900.0,1200.0,900,inf,4.358659,1.584904,6.0
eq3j,eq1b,1200.0,inf,200,400.0,3.353423,0.932065,3.0
eq3j,eq1b,1200.0,inf,400,600.0,7.54899,1.878091,5.0
eq3j,eq1b,1200.0,inf,600,900.0,5.139854,1.392227,7.0
eq3j,eq1b,1200.0,inf,900,inf,3.461733,1.272583,4.0
eq3j,eq2b,200.0,400.0,200,inf,418.169403,83.425281,495.0
