njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq23j,eq01b,200.0,inf,200,400.0,57973.101562,10645.420334,66955.0
eq23j,eq01b,200.0,inf,400,600.0,5413.988281,1085.811033,5946.0
eq23j,eq01b,200.0,inf,600,900.0,858.618591,216.389672,903.0
eq23j,eq01b,200.0,inf,900,inf,113.29657,40.560863,100.0
eq23j,ge2b,200.0,inf,200,400.0,870.880859,135.19583,1045.0
eq23j,ge2b,200.0,inf,400,600.0,56.929043,9.366455,70.0
eq23j,ge2b,200.0,inf,600,900.0,7.115107,1.709473,6.0
eq23j,ge2b,200.0,inf,900,inf,1.004062,0.375872,0.0
eq45j,eq01b,400.0,inf,200,400.0,10488.750977,1126.985075,9546.0
eq45j,eq01b,400.0,inf,400,600.0,1880.114746,306.364538,1734.0
eq45j,eq01b,400.0,inf,600,900.0,319.044861,71.284698,315.0
eq45j,eq01b,400.0,inf,900,inf,40.074783,13.452277,44.0
eq45j,ge2b,400.0,inf,200,400.0,969.803528,109.637271,1012.0
eq45j,ge2b,400.0,inf,400,600.0,81.200516,10.515477,93.0
eq45j,ge2b,400.0,inf,600,900.0,8.355038,1.749627,4.0
eq45j,ge2b,400.0,inf,900,inf,1.184289,0.403874,3.0
ge1j2a,eq0b,200.0,inf,200,400.0,359199.6875,38315.033465,411184.0
ge1j2a,eq0b,200.0,inf,400,600.0,9988.757812,1377.636236,11448.0
ge1j2a,eq0b,200.0,inf,600,900.0,910.134033,167.832625,1116.0
ge1j2a,eq0b,200.0,inf,900,inf,107.244446,27.689996,111.0
ge1j2a,ge1b,200.0,inf,200,400.0,25523.029297,2540.983243,31174.0
ge1j2a,ge1b,200.0,inf,400,600.0,648.806824,90.871788,769.0
ge1j2a,ge1b,200.0,inf,600,900.0,69.16993,12.884553,105.0
ge1j2a,ge1b,200.0,inf,900,inf,6.780463,1.846599,7.0
ge6j,eq01b,400.0,inf,200,400.0,912.098572,184.277718,758.0
ge6j,eq01b,400.0,inf,400,600.0,166.969009,75.949214,141.0
ge6j,eq01b,400.0,inf,600,900.0,32.617256,25.071507,33.0
ge6j,eq01b,400.0,inf,900,inf,4.214177,4.955029,5.0
ge6j,ge2b,400.0,inf,200,400.0,189.212112,40.432455,197.0
ge6j,ge2b,400.0,inf,400,600.0,16.9175,4.860078,14.0
ge6j,ge2b,400.0,inf,600,900.0,2.050037,1.168928,3.0
ge6j,ge2b,400.0,inf,900,inf,0.243967,0.227585,0.0
