njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq23j,eq01b,200.0,inf,200,400.0,57973.099834,348.617016,66955.0
eq23j,eq01b,200.0,inf,400,600.0,5413.988255,71.491355,5946.0
eq23j,eq01b,200.0,inf,600,900.0,858.618542,16.343977,903.0
eq23j,eq01b,200.0,inf,900,inf,113.296549,2.627073,100.0
eq23j,ge2b,200.0,inf,200,400.0,870.887675,12.892122,1045.0
eq23j,ge2b,200.0,inf,400,600.0,56.923925,1.81511,70.0
eq23j,ge2b,200.0,inf,600,900.0,7.141174,0.345949,6.0
eq23j,ge2b,200.0,inf,900,inf,0.996799,0.088149,0.0
eq45j,eq01b,400.0,inf,200,400.0,10488.752092,264.812116,9546.0
eq45j,eq01b,400.0,inf,400,600.0,1880.114819,31.534089,1734.0
eq45j,eq01b,400.0,inf,600,900.0,319.044796,5.914741,315.0
eq45j,eq01b,400.0,inf,900,inf,40.074771,1.220327,44.0
eq45j,ge2b,400.0,inf,200,400.0,969.803556,42.536195,1012.0
eq45j,ge2b,400.0,inf,400,600.0,81.200481,2.920856,93.0
eq45j,ge2b,400.0,inf,600,900.0,8.355025,0.509918,4.0
eq45j,ge2b,400.0,inf,900,inf,1.18428,0.126243,3.0
ge1j2a,eq0b,200.0,inf,200,400.0,359199.662515,817.259578,411184.0
ge1j2a,eq0b,200.0,inf,400,600.0,9988.757715,111.209191,11448.0
ge1j2a,eq0b,200.0,inf,600,900.0,910.133648,7.624195,1116.0
ge1j2a,eq0b,200.0,inf,900,inf,107.243995,1.614876,111.0
ge1j2a,ge1b,200.0,inf,200,400.0,25523.033298,128.201811,31174.0
ge1j2a,ge1b,200.0,inf,400,600.0,648.806658,12.863753,769.0
ge1j2a,ge1b,200.0,inf,600,900.0,64.541533,1.121546,96.0
ge1j2a,ge1b,200.0,inf,900,inf,11.408679,0.297349,16.0
ge6j,eq01b,400.0,inf,200,400.0,912.098477,541.013679,758.0
ge6j,eq01b,400.0,inf,400,600.0,166.969017,22.992049,141.0
ge6j,eq01b,400.0,inf,600,900.0,32.617267,1.362646,33.0
ge6j,eq01b,400.0,inf,900,inf,4.214178,0.24682,5.0
ge6j,ge2b,400.0,inf,200,400.0,189.211964,143.713396,197.0
ge6j,ge2b,400.0,inf,400,600.0,16.917487,2.123709,14.0
ge6j,ge2b,400.0,inf,600,900.0,2.050032,0.198431,3.0
ge6j,ge2b,400.0,inf,900,inf,0.243966,0.029135,0.0
