      njet   bjet  ht_low  ht_high  mht_bin  mht_low    mht_high            bkg       bkg_err         bkgTtw    bkgTtw_err        bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
0    eq23j  eq01b   200.0      inf        0      200  400.000000   57973.101562  10239.715496   26547.069284   4795.101723   31018.473579   5089.224907  4.075567e+02  3.094435e+02   66955.0   258.756642     258.756642
1    eq23j  eq01b   200.0      inf        1      400  600.000000    5413.988281    966.377938    1684.342893    381.792017    3657.267807    721.039307  7.237752e+01  5.293133e+01    5946.0    77.110311      77.110311
2    eq23j  eq01b   200.0      inf        2      600  900.000000     858.618591    331.740712     189.096910     75.239663     661.351290    216.086373  8.170430e+00  7.020295e+00     903.0    30.049958      30.049958
3    eq23j  eq01b   200.0      inf        3      900         inf     113.296570     75.855372      18.640632     11.900664      94.286486     53.955000  3.694793e-01  3.622519e-01     100.0    10.000000      10.000000
4    eq23j   ge2b   200.0      inf        0      200  400.000000     870.887512    134.049776     600.453105     96.941557     262.641738     40.999861  7.792788e+00  6.636910e+00    1045.0    32.326460      32.326460
5    eq23j   ge2b   200.0      inf        1      400  600.000000      56.923985      8.839338      23.018428      4.437122      33.399121      6.378770  5.064389e-01  3.738525e-01      70.0     8.366600       8.366600
6    eq23j   ge2b   200.0      inf        2      600  900.000000       7.141180      2.622348       1.711429      0.556413       5.382555      1.814133  4.719625e-02  4.149204e-02       6.0     3.278300       2.176900
7    eq23j   ge2b   200.0      inf        3      900         inf       0.996808      0.651746       0.121841      0.080979       0.870589      0.512754  4.377257e-03  4.568714e-03       0.0     1.290400       0.000000
8    eq45j  eq01b   400.0      inf        0      200  400.000000   10488.750977   1097.458045    5625.179395    750.761203    4847.750813    495.093393  1.582196e+01  1.090558e+01    9546.0    97.703634      97.703634
9    eq45j  eq01b   400.0      inf        1      400  600.000000    1880.114746    253.619341     667.031158    115.083850    1209.893230    182.477577  3.190484e+00  2.119748e+00    1734.0    41.641326      41.641326
10   eq45j  eq01b   400.0      inf        2      600  900.000000     319.044861    111.627987      74.798433     25.357335     243.841899     72.193335  4.044968e-01  2.753007e-01     315.0    17.748239      17.748239
11   eq45j  eq01b   400.0      inf        3      900         inf      40.074783     26.594885       6.688187      3.990173      33.386599     18.849703  1.943680e-08  1.315734e-08      44.0     6.633250       6.633250
12   eq45j   ge2b   400.0      inf        0      200  400.000000     969.803528    114.774676     844.707363    114.141978     123.939735     13.564949  1.156470e+00  8.590154e-01    1012.0    31.811947      31.811947
13   eq45j   ge2b   400.0      inf        1      400  600.000000      81.200516      9.357962      51.884093      8.202940      29.196955      4.682942  1.194748e-01  8.311132e-02      93.0     9.643651       9.643651
14   eq45j   ge2b   400.0      inf        2      600  900.000000       8.355038      2.443408       2.713525      0.691312       5.633036      1.693745  8.475892e-03  5.974386e-03       4.0     2.776400       1.664100
15   eq45j   ge2b   400.0      inf        3      900         inf       1.184289      0.728679       0.174415      0.093398       1.009874      0.562943  1.301401e-09  9.467069e-10       3.0     2.301200       1.896400
16  ge1j2a   eq0b   200.0      inf        0      200  400.000000  359199.687500  35390.598453  154333.046931  17192.490720  203896.693497  19761.714576  9.699200e+02  6.946966e+02  411184.0   641.236306     641.236306
17  ge1j2a   eq0b   200.0      inf        1      400  600.000000    9988.757812    888.345293    2847.715340    417.040084    7140.653853    523.658974  3.891463e-01  3.412184e-01   11448.0   106.995327     106.995327
18  ge1j2a   eq0b   200.0      inf        2      600  900.000000     910.134033    298.109728     182.654512     69.364176     727.443864    183.592747  3.570333e-02  2.657134e-02    1116.0    33.406586      33.406586
19  ge1j2a   eq0b   200.0      inf        3      900         inf     107.244446     64.377947      15.277122     10.568191      91.967318     45.621101  9.703508e-07  6.949505e-07     111.0    10.535654      10.535654
